n_harmonics,base_freq,magnitudes,instruments
8,1.480330660997807,"[ 0.98460759 -0.41855369  0.36769228 -1.00167323 -0.11895427  1.15028657
 -1.14095278 -0.74014273]","[<ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.9980774322753314,4.045965569752787
-2.988512039728115,4.045998326339518
-2.9692106359896275,3.959523754935043
-2.9675974227052513,3.9254659335232844
-2.949754842510476,3.813462086018932
-2.9363803801185284,3.7462726083478937
-2.9319887461216476,3.6154941534625666
-2.925694634942146,3.5677526689124472
-2.911291308713577,3.424040811955877
-2.9106632102483365,3.3389546210548744
-2.902921873749877,3.2786044190966948
-2.9025403725464014,3.2935194840644164
-2.8969598474732763,3.152940449056842
-2.8942484922947513,3.1386081852971195
-2.891374140752286,2.993847622034219
-2.887550509877403,3.0376967830389083
-2.88613501321936,2.986864059616616
-2.878985794592411,2.8165354863994003
-2.878521401119097,2.8007648224092994
-2.8771684100476675,2.848584745418227
-2.867215513028797,2.6293948496797954
-2.8625770590611332,2.54145452777138
-2.862108755745716,2.5625554566174062
-2.8584037485668183,2.3935537731991174
-2.8499588818703847,2.2962506072829036
-2.845717499869978,2.1863206837148565
-2.839049018112707,2.0533089430255385
-2.8388376575349312,2.040564152504469
-2.8313813626998674,1.9341792583516981
-2.8196789472962225,1.6345539826121247
-2.8138583762041396,1.510552158571443
-2.8115262678907254,1.4383169173718646
-2.80240640057154,1.2361065584577238
-2.8020705095039604,1.2152231155672564
-2.7972660373434257,1.1180383277960964
-2.7956173609342905,1.0830381603679873
-2.7833544745726977,0.7961487095317699
-2.780390391865856,0.7485924155117903
-2.772008864029,0.5337724646654696
-2.7644271416524964,0.3254708459966478
-2.7600649185855195,0.22140388268610303
-2.7589116162732514,0.16565294782307968
-2.757247824431606,0.1638288936502855
-2.7524481214238135,0.037523515223720626
-2.7521313788683965,0.03299150224880588
-2.7512360370975735,0.03319830636482556
-2.7332142765741003,-0.4959723563894127
-2.729537943608353,-0.568456495980191
-2.7210587082324347,-0.747004837560012
-2.7106928627315696,-0.9673556177522898
-2.7039190459610096,-1.1861607835696073
-2.7018080891376943,-1.2073912083462306
-2.6992965608141386,-1.3055244653128317
-2.698342076178456,-1.2707159731540454
-2.6966664991793827,-1.3533718596653872
-2.6908384916965242,-1.478339475873013
-2.689956458374922,-1.5157527671552935
-2.6807525528082383,-1.735816578803683
-2.66273907783354,-2.110152935524758
-2.656176559284882,-2.2373722645712544
-2.650287580887312,-2.389123600009524
-2.645915419441791,-2.5538217647996007
-2.6398466548332555,-2.61824671683954
-2.6343357280570605,-2.776183813925117
-2.6276524335009195,-2.871203058799723
-2.6274868506463207,-2.833439002103541
-2.611993412924005,-3.0984291709834064
-2.608551051496366,-3.245137075153781
-2.6064516451422586,-3.2518080967720007
-2.6045228664443174,-3.2970547256333744
-2.5987423998692263,-3.3671681943400804
-2.590453686485481,-3.4827036508109193
-2.5879370760758658,-3.525694268793549
-2.5854994172964223,-3.5963017767065684
-2.5854257963796194,-3.604056902281081
