n_harmonics,base_freq,magnitudes,instruments
8,1.224560660097715,"[-1.03807662 -0.82077987 -0.13154136  0.80394814 -0.02264013 -0.43281384
 -0.01160934  0.17924555]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.997148891314671,1.36885378901858
-2.9910046624746567,1.2105668870064172
-2.9892207780660263,1.150806596754503
-2.9864033419537273,1.0953279945433396
-2.9840855525032195,1.0410088196454088
-2.9786316661375647,0.9028230825140692
-2.9458987586212895,-0.003187126916832657
-2.9427053663457636,-0.06449950823090825
-2.9257571509841176,-0.5515687670028967
-2.9183337351328493,-0.7461691408892916
-2.9157617257175774,-0.8197241003511977
-2.9064207524264636,-1.0873671821180424
-2.8991028982612033,-1.276223525650227
-2.89625579430337,-1.3548104845198639
-2.8885368706852153,-1.5678722097374913
-2.886018587850063,-1.6221607266713882
-2.885240544090976,-1.6570046556716755
-2.868668504074882,-2.075897424143106
-2.861224339082349,-2.271657909097716
-2.844819290381837,-2.661072205590381
-2.841568330107937,-2.738988011150994
-2.8334765618312403,-2.9144837712964917
-2.833452135454234,-2.9274599899421947
-2.8251058364605695,-3.1067174520720693
-2.821725472725995,-3.167522871769401
-2.8193662488817592,-3.216579442958799
-2.8140221774367307,-3.318760205020357
-2.8130367649614696,-3.349086565476844
-2.80848326115722,-3.4368746367845375
-2.8023247044597084,-3.55371668822878
-2.7964994016445477,-3.6526394842064818
-2.7900965840590444,-3.772224579525318
-2.779032159565566,-3.9512876627603517
-2.775929920144718,-3.999502714247159
-2.7648849041260117,-4.148979098310331
-2.7623561421557428,-4.189685582417971
-2.758883454303124,-4.2271601897463835
-2.7455442521452884,-4.402731806628863
-2.74535426533241,-4.404595107852373
-2.741013439522326,-4.4471199621802455
-2.7232927713884623,-4.6041022809742875
-2.7161600822489484,-4.670956975893286
-2.7116295135484654,-4.697030345984804
-2.7055969540743967,-4.739887960980392
-2.7004349307212108,-4.767881315551884
-2.6986982681305802,-4.774871521925242
-2.694877893008724,-4.786374970406829
-2.69430746881582,-4.794221225778907
-2.6866935918530688,-4.846752759601321
-2.686425274984877,-4.820822005341344
-2.6860601941632822,-4.839182410016407
-2.6829953531106874,-4.838877191199172
-2.67149229552264,-4.877305385427768
-2.6713744261219112,-4.879245495196366
-2.6495004169043317,-4.894225920997861
-2.647101319871891,-4.9026404552116345
-2.6435130082987874,-4.904577061401182
-2.643471270395092,-4.895118559887922
-2.6385971092261897,-4.890384403877305
-2.6215191090777306,-4.87027723762319
-2.611296178270271,-4.821587369383256
-2.6065563503579474,-4.80668050489587
-2.5975471621331137,-4.772138636349312
-2.594765937016865,-4.759324532949522
-2.5935341346730416,-4.751360376731472
-2.587883207335193,-4.728278727639227
-2.587847023981996,-4.729826272160674
-2.5877342534577066,-4.7326207731680965
-2.5803562834563607,-4.699886467645127
-2.5775169527900834,-4.676569445668379
