n_harmonics,base_freq,magnitudes,instruments
10,3.913197222760874,"[ 0.47020348 -1.01592842  0.81339744  1.41073658 -0.05627753  2.93503656
  0.38664537  0.09942837 -0.02762293  0.15999177]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.998978600999945,0.4171686980020982
-2.993769872063079,0.2308759049024532
-2.993033226645143,0.20426690026293162
-2.98915637239315,0.06914698475324008
-2.9857682628432034,-0.04589309394561776
-2.971277793597126,-0.5227078912769016
-2.9623098232177876,-0.8093738138471807
-2.9524068280837854,-1.097833924796547
-2.948050481487793,-1.226855433957916
-2.943107336716352,-1.3665973721820242
-2.9428494184196676,-1.3704289852230063
-2.941480515291971,-1.4110107343755602
-2.9279115971120993,-1.7376823521764413
-2.9245837045432452,-1.8117337738238026
-2.917053984638474,-1.9454439600297453
-2.913202204959588,-2.007265073610648
-2.908421122645951,-2.0530928350676505
-2.9023329679906196,-2.0937991683299733
-2.901850307005492,-2.089508826987458
-2.8901934992515526,-2.0505920764686234
-2.8898573455346908,-2.0507940232944653
-2.8813623004384894,-1.9157711166375222
-2.8805545589085715,-1.9039364232208205
-2.878034326748069,-1.854742360831828
-2.8688878717985578,-1.580768569409864
-2.8543680647536585,-0.9643954396858443
-2.8516406178860443,-0.8273147817099725
-2.842531528254117,-0.34184579202001114
-2.8424428607611443,-0.3322964735779863
-2.8336623310404354,0.16860492069147454
-2.82577565752329,0.6154442624573724
-2.807231505908537,1.5371095740894796
-2.8067366062482733,1.5601203731785342
-2.7961221242231122,1.9268747413475373
-2.794428174811949,1.9734633061622002
-2.7819574198797943,2.195398807047994
-2.7814234717368556,2.2101865305555886
-2.7753986561879227,2.2220588948916107
-2.775395469272362,2.2208276883803806
-2.7746347741624193,2.2234480587361296
-2.7703725461280486,2.2071628418427554
-2.769537314690172,2.195668760668615
-2.7684405698936008,2.1907948703987885
-2.736585250408209,1.4228392740458555
-2.734718409117066,1.356622974470369
-2.727130129916034,1.0852517198661253
-2.724525294994434,0.9958401518114041
-2.710219972519577,0.4660152929838364
-2.706982043729864,0.3373354441365749
