n_harmonics,base_freq,magnitudes,instruments
8,1.6848397523072385,"[-0.57997561  0.34024171  0.03320448 -1.10691953 -0.02276038  0.21595764
  0.20264634 -3.16116669]","[<ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9790935652248587,-1.3632103629264483
-2.9734824823664274,-1.3922375360276134
-2.9715230803308668,-1.3884120421507058
-2.9704740677942585,-1.3910581271476727
-2.94001395951452,-1.4437629558590697
-2.933173605262829,-1.4559755454408232
-2.9298429327228304,-1.469019585256155
-2.929818771762193,-1.4794966965062195
-2.9187166655485672,-1.4809893784602202
-2.914728108593575,-1.4753980952793815
-2.908182554010689,-1.5080006628496354
-2.899931296245536,-1.5280015793648107
-2.890627361339268,-1.5617643345730883
-2.883528123413657,-1.5840119261706378
-2.882160549211349,-1.5937232649747308
-2.878068665730166,-1.5990078116366815
-2.8771570026814457,-1.601285398775926
-2.8754619828023817,-1.6140418291052339
-2.8575468217124858,-1.6794397921956035
-2.8473734484774544,-1.7259548831538125
-2.843197547679674,-1.7607987158529392
-2.830067188354432,-1.8181878347483593
-2.8242142495378464,-1.8359659099177672
-2.823938602866815,-1.8503214638431156
-2.8218517695197494,-1.8635649796272746
-2.810986123194279,-1.909815404144064
-2.8108612171939207,-1.9141869210507398
-2.79743857390421,-1.9827728815639325
-2.7963932122342614,-1.9627717097311894
-2.7878136370989104,-2.0077690764422274
-2.784719586009543,-2.0269534562574463
-2.7759879807562897,-2.076614900466647
-2.7755392904625675,-2.0644940156433695
-2.769746513183367,-2.102305623141516
-2.76670081847742,-2.1083105740144625
-2.7663152659060937,-2.1096405232286384
-2.755745229188074,-2.143264160640221
-2.753559092769351,-2.145998835207384
-2.7525805523452203,-2.147304121723621
-2.7467142498320074,-2.1580330771469987
-2.7451612713722238,-2.1704284997544327
-2.7428507165555436,-2.1809394163521714
-2.7425148978585723,-2.177656820909113
-2.7407457952255765,-2.1705195563365898
-2.7384672785776116,-2.1760471910667936
-2.733946434519952,-2.1768489173683174
-2.7334772591897845,-2.1861531957387497
-2.7305103008583895,-2.1882267066186802
-2.7277139189334036,-2.200531664124959
-2.7242790330010993,-2.18145752265094
-2.714130110927523,-2.2008549326291935
-2.7138866654295173,-2.1924142115483267
-2.683685846175986,-2.1469840399109996
-2.682668058668013,-2.147452876378794
-2.682049023818844,-2.1439666095871983
-2.680360618419619,-2.1376596304593884
-2.677508875453952,-2.1284932367738465
-2.6764588630519843,-2.1302334839537775
-2.6743018017734386,-2.119276989016385
-2.6567377368684983,-2.051647398644295
-2.6550148077164804,-2.050844649871236
-2.6529151808642704,-2.0311463253063815
-2.6506952230263217,-2.026767045413112
