n_harmonics,base_freq,magnitudes,instruments
7,3.6778446893405383,"[ 0.48805351  0.78815161  0.03235666  0.69882313 -0.40296341  0.13848287
  0.44505737]","[<ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'>
 <ufunc 'cos'> <ufunc 'cos'>]"
x,y
-2.9992504359029084,-1.3565627553070059
-2.9950682258830383,-1.6320465398082848
-2.991100515218331,-1.85066594272888
-2.988044784987468,-2.008971640069042
-2.982358714653432,-2.223471010548753
-2.9800556613448164,-2.4289336937402104
-2.958037320557321,-3.0600059260508194
-2.9547797081697595,-3.1381896014668307
-2.9502344923577057,-3.1123805622258205
-2.9428365816510746,-3.1243600271892165
-2.941157405801764,-3.1214891083789484
-2.9248001124648644,-2.802504085162262
-2.9088202266201684,-2.154781814876047
-2.8901575336833627,-1.1293923879221026
-2.8790875588723583,-0.30399538774661117
-2.8787810392607316,-0.3735232709805207
-2.8778571893994425,-0.2159685775478163
-2.8714758190763705,0.1566552376435341
-2.871046059982273,0.21823701113683394
-2.870287856790534,0.2797217077165482
-2.8679982335593364,0.3731880554022683
-2.8505810560688314,1.5168400932737485
-2.842322610485601,2.0286656071957987
-2.8272067210041127,2.7348056956353655
-2.825132437967303,2.8442909960227096
-2.820788747156773,3.0204001864482835
-2.814207514601393,3.1641342053063553
-2.809641039301015,3.283902004081147
-2.8072995340201548,3.3560682851847443
-2.8041597635066764,3.381024486690797
-2.797133965178854,3.495614069769165
-2.7952110360443667,3.4321110563620625
-2.789924208651005,3.4608226131960462
-2.78982633324006,3.4842683396525946
-2.786213703907547,3.486022829876801
-2.785876009107592,3.428190289955907
-2.781494659111069,3.421285012829171
-2.7796297802921606,3.395309744691937
-2.7726243405322974,3.31617915531565
-2.771356183646411,3.297756589814512
-2.757195331092925,2.8672248802807214
-2.7428009825546695,2.3935736728081216
-2.7275231921871486,1.8600057832210946
-2.7234302686306324,1.7267196201691988
-2.7218544466094303,1.6462064122561946
-2.7215812554099674,1.6398686826393643
-2.7164406382881165,1.4107937785154068
-2.712305774348901,1.3458481379234541
-2.7114257694350816,1.3129520947142357
-2.705386538036814,1.0917231576562407
-2.702503786796572,0.9940597225251192
-2.6982127424384057,0.8921878898014151
-2.697256246184047,0.8864979215761715
-2.6950587628962523,0.8607076071416865
-2.6867014636680473,0.6438597306408491
-2.6847414998887436,0.5324063203737593
-2.6757176773806064,0.3606543099345476
-2.6723971891346725,0.34523977817956925
-2.66685722291996,0.178978755990642
-2.6592048803511235,0.20203325187514168
-2.6455769416648094,0.04035345455049952
-2.6387108363527276,-0.028529989671098786
-2.630545632442302,-0.10215622439265426
-2.6221724923218996,-0.07499612602272937
-2.621723936113878,-0.1535351174508718
-2.613963592481717,-0.25278315806184853
-2.6074028095294763,-0.3048088691966128
-2.6052796573885355,-0.3041461719705524
-2.5990450196583863,-0.3790255279448314
-2.5989732961683814,-0.39557930713838596
-2.5964754448510923,-0.420563769410999
-2.587966654259035,-0.5867852527979961
-2.5856208319886465,-0.7188152585245405
-2.5826357294935964,-0.6825082525932148
-2.577117172018074,-0.781635116790905
-2.5713557314301863,-1.0097434377073886
-2.5658389109373942,-1.1273435554036277
-2.5537454306177083,-1.5493284352206025
-2.5488419898235675,-1.8282557024456456
-2.548165338709319,-1.8750710730800342
-2.543561115587881,-2.009213330549473
-2.5385741016633996,-2.1985669818595737
-2.5227463514703263,-2.9369554108024185
-2.5059240655294293,-3.638742735397862
-2.5017008343757587,-3.7047558445889575
-2.498507116723725,-3.936150696540923
-2.4936282673888375,-4.061623324741906
-2.481434258851144,-4.335386881046238
-2.47536095148907,-4.457144361453918
-2.4729690453405446,-4.492062157155633
-2.467732232800964,-4.529327357020331
-2.461769978909154,-4.5839705265219095
-2.4608316690821375,-4.66020426858177
-2.454573988399043,-4.657236422123127
