n_harmonics,base_freq,magnitudes,instruments
10,3.983130115211065,"[-0.26535635  0.42547832  0.79009518 -1.32645945  0.59185017 -0.93326702
 -0.7834213   0.4128988   0.27330945  0.75903559]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'>]"
x,y
-2.9823828920161892,-0.40522722088546587
-2.960035571006957,-1.0276158062831764
-2.958803490846357,-1.1405878171159525
-2.952847719093434,-1.1715099223197043
-2.9508281127785327,-1.1902261952464823
-2.9421807929105195,-1.2691370408912612
-2.9359303208654186,-1.319647212776871
-2.924614336375961,-1.149349576199454
-2.9199269366859553,-1.0443099333537569
-2.9160939011793836,-0.9430781127823875
-2.9138773053805753,-0.86242413046543
-2.9083190132136783,-0.6201676280012848
-2.9046313344478607,-0.42767665481640177
-2.8977829246479816,-0.10544936675230183
-2.8976223873317717,-0.09492880131703703
-2.8966718358407846,-0.001834809266727402
-2.8842991916495846,0.7256677250561432
-2.879798834759412,1.043830238609392
-2.8749180820896996,1.3434107978164802
-2.8706633529351446,1.6449045592711435
-2.863057477858912,2.0360322272027873
-2.8616132830180154,2.1478651265662725
-2.843329314609554,2.754163024484032
-2.836194445181836,2.8296455412073107
-2.8310690106155327,2.7754439881983455
-2.816005353173457,2.2443472493341923
-2.8096062751179796,1.9668661079974128
-2.7984276821639527,1.1630670666900913
-2.796442325674594,0.9906811257872234
-2.7961311731464273,1.015871095616999
-2.7958516503759885,1.0006056724005465
-2.784498330414041,0.00021385781838116884
-2.7808611503338008,-0.2978288447848809
-2.778534520059231,-0.48896725017046344
-2.7776084642689076,-0.5587309264266155
-2.7637114415470974,-1.7001512501504015
-2.760851923966791,-1.8745246387324206
-2.7586367767556297,-1.9823315161925
-2.7552310622719003,-2.2011110799198597
-2.7522817758876856,-2.3602212508992566
-2.7522064231897705,-2.340750835390599
-2.7497994018524423,-2.5006455585287224
-2.7491287609941413,-2.5041149362690254
-2.7487301839218485,-2.5096091989547262
-2.7469773186791064,-2.5787994421018943
-2.7417540113195065,-2.714772624885494
-2.7387218723779654,-2.8001304423426236
-2.735418749523199,-2.8914434047045225
-2.729276842757039,-2.9289734625568173
-2.718205370588798,-2.7796045467361696
-2.7149178442464046,-2.6898485543242
-2.7047628978175835,-2.2712673252737114
-2.7018882476228994,-2.1910489499706394
-2.696533119724905,-1.9251551241498672
-2.691258532769994,-1.6181144576008024
-2.672261833145472,-0.5526946160137806
-2.63961814466676,0.8041279528461914
-2.6343772669834804,0.8796951207244992
-2.628287778352713,0.9540326105865512
-2.6222399578532225,1.0275244120460554
-2.609021285792364,1.0730371268488625
-2.6007926574990594,1.0064566536541462
-2.599269188583566,0.9907389252634433
-2.5984016256543474,0.984681047251854
-2.5907715294026135,0.9924089974349263
-2.5892278411669087,0.9230761878510066
-2.588110565794765,0.9325712293752874
-2.5843106929215733,0.8992804933593984
-2.578399549415554,0.7992197985477212
-2.573410890536217,0.7306063725422803
-2.5679056454668814,0.6155030759334624
-2.563776901731589,0.5642820671849628
-2.5603973487912026,0.4811005723471637
-2.5584366029464034,0.4757640778478102
-2.5397646636653475,0.12788566435408255
-2.5258513261197613,-0.20903756258023032
-2.524050545850609,-0.2188670290191073
-2.5215737166904217,-0.2846006326228351
-2.5204615554603644,-0.32363145180232333
-2.5064499114864986,-0.5419278188341468
-2.4904463990550125,-0.7126807644326079
-2.490270942559134,-0.699992369142329
-2.487192141648068,-0.6791497561649307
-2.4871090951790906,-0.6885565342821194
-2.4834751965213746,-0.7076821452131917
-2.4807327910706847,-0.6717107459326362
-2.4790601142185658,-0.6476245126874561
-2.4632367070112755,-0.3977178433569515
-2.459905079902926,-0.2919572111853264
-2.4525573237391693,-0.027251049826809322
-2.442596252329277,0.3486920240136821
-2.440669308456521,0.46312440212907247
-2.4388386055512834,0.5491820571391077
-2.4385987778370684,0.5058537623816693
-2.4385461444106973,0.54143268782268
-2.437786584925335,0.5204749268803892
-2.4325126084666993,0.8027648729351108
-2.4273289165374283,0.9974012094432689
-2.411195044415697,1.530037263623912
-2.4077732210656224,1.6488987203197887
-2.3975931537106723,1.6777458629823052
-2.3935682598130237,1.621728940599854
-2.3928508147009353,1.6093230893372508
-2.3924461016712693,1.6311267318463305
-2.386504318160038,1.4969052820026971
-2.3830126855719698,1.3919813626066966
-2.3753635731083804,1.1001190198436857
-2.3641923653137082,0.3304849478522896
-2.3602440953515638,-0.009289907163260513
-2.348414034700206,-0.9937872912217302
-2.347440064356209,-1.1443088680432205
-2.3422735407329784,-1.6414857990843492
-2.333763356957945,-2.401354252745494
-2.3272681228749272,-3.012758365495962
-2.3262780590785006,-3.0607395188754567
-2.314037077077673,-3.9117908315284264
-2.3132519271152874,-4.0178293734347355
-2.307588112502931,-4.2486023260358525
-2.3066726979010848,-4.267400739267381
-2.306059953512685,-4.305928700106884
-2.280498864304301,-4.195435829796263
-2.2653079247000223,-3.157241891888414
-2.2610701630893466,-2.7837146365502106
-2.2576735048286123,-2.4941298809399606
-2.254596247641096,-2.219670749036237
-2.2514648985168764,-1.8789673844474928
-2.2490675275536516,-1.714367482293657
-2.2479162643232184,-1.5864451137768913
