n_harmonics,base_freq,magnitudes,instruments
10,3.2792140311680145,"[ 1.59898041  1.51519652  0.31666406 -1.13548204 -0.39522901  0.19930817
 -0.54253022  0.25827834 -0.26537556  1.11535672]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9815656363698726,-1.482354267292429
-2.981230531928122,-1.5282021963845525
-2.981211144362026,-1.5058023656081077
-2.946564038827858,-4.707049443418695
-2.9387471751403815,-5.111873695804419
-2.9356871774193767,-5.139203312446398
-2.934072913015542,-5.2052158658643215
-2.913166674705063,-4.780907588285014
-2.9069767112770926,-4.392982701307988
-2.8824153953385276,-2.0330869837157364
-2.881882101223372,-1.971379911489049
-2.8812509416238403,-1.9383438164362954
-2.8791383439454457,-1.6557926026087544
-2.874635239899711,-1.1389204704312659
-2.871165724832905,-0.6934049312625142
-2.8705589515537,-0.7087230242120682
-2.870216551037191,-0.6067530551014785
-2.869907296534424,-0.5567308727300201
-2.869145822609327,-0.5089067391757468
-2.8629934440176825,0.2383106329368772
-2.8614363028222147,0.42398281400571475
-2.8560444301162677,0.9990752689958015
-2.85047658682227,1.553526380455731
-2.848309611561905,1.836725114421836
-2.8328186632454146,3.0332146934954975
-2.827052619923824,3.393422354291994
-2.824911281699982,3.483773234107275
-2.8232063841304225,3.5441578153154913
-2.821363650918639,3.620783805900973
-2.817936944545983,3.720935541105762
-2.8176265964894966,3.750875213484635
-2.8037674347200667,3.8538137493903353
-2.80238433265963,3.830491672609495
-2.7941331200174866,3.6345733227753234
-2.7910747010407415,3.555313969630356
-2.790750572156333,3.558439175944293
-2.7832161951129857,3.2226777944205844
-2.783164236602061,3.2024502597959263
-2.778914503268661,2.9279669903051517
-2.7574525569512423,1.4748915507385383
-2.748212940459321,0.8514020386918195
-2.7457003945763194,0.6139575313361895
-2.7403395673245687,0.24679626186534298
-2.73966516157392,0.1711101720853906
-2.73839128596659,0.05604474424970495
-2.736622524137051,-0.06447305098546965
-2.7321178863925093,-0.3290827923894599
-2.727991059499561,-0.589454791229109
-2.7276860315577443,-0.6094370969497725
-2.7206861147103294,-1.0323830678295682
-2.7122217233149692,-1.434144487384562
-2.7090596324094607,-1.531295694174038
-2.7045525594160087,-1.724133370043591
-2.7029282731396855,-1.806673830290189
-2.692676607490566,-2.059427890166787
-2.6879936510833717,-2.1119764320832837
-2.661182373648543,-2.325295063487011
-2.6580640175563883,-2.294337620035896
-2.6579118684244376,-2.329007622643862
-2.6444532836350194,-2.2603154129282865
-2.6388043917382724,-2.208064630356121
-2.637334124360273,-2.1945408775422437
-2.631149644465319,-2.1729763764545074
-2.6100224840170405,-2.036169870578404
