n_harmonics,base_freq,magnitudes,instruments
10,2.360247911587763,"[ 1.25750384 -0.4245378   0.15546255 -1.30711537 -2.07783414  0.07349277
 -0.20834074  0.49197973 -0.82642498 -0.04458354]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9942701225302866,2.200493610469697
-2.9938794343052644,2.1905306016263633
-2.9924509329357303,2.2285072241605186
-2.9921628482546927,2.2559070066389246
-2.988803867609102,2.3226892174931475
-2.968066833661207,2.591967046262364
-2.967106148570701,2.580913765496165
-2.9625333553085693,2.619129394989469
-2.959686793789468,2.60316024243505
-2.9586198239668047,2.589650332880535
-2.9577425917439943,2.5809331526015504
-2.9552674520124995,2.577245013251151
-2.9516949359769544,2.5916369236087173
-2.9449934068191874,2.457825163054457
-2.9359093491538086,2.356395923389883
-2.929487060231525,2.181668211380736
-2.924358202833037,2.0420918044367644
-2.9237807439983152,1.9857535952007053
-2.9095364101739425,1.473872199945761
-2.8961543944549932,0.8045930569062173
-2.8941205697728827,0.7796096194726165
-2.8625152863679113,-0.8248385498861024
-2.8534044103913727,-1.2425409608691245
-2.8492272105655836,-1.4340416168624288
-2.847476104452273,-1.4696974630499784
-2.8439307362296593,-1.614479626380986
-2.8399895046776633,-1.7195429854968074
-2.836565365178575,-1.8267809787273541
-2.8352623008941364,-1.8324353451470692
-2.8279241819240055,-2.0614290416413796
-2.818940669329222,-2.1584196016482338
-2.812205281185542,-2.2162347367670647
-2.8086100831150125,-2.2062921292513225
-2.8045279631221693,-2.2211931178643805
-2.80067386308122,-2.126311285097663
-2.80056141551182,-2.1378707260638485
-2.796487427957321,-2.051666128516266
-2.790937672035457,-1.9435548380631333
-2.7817828349543063,-1.6866152117002462
-2.7816797866822993,-1.6099002493785999
-2.7772005092582455,-1.4936896198007792
-2.7763407833464773,-1.469384486445323
-2.7603332600945674,-0.6753740916027471
-2.7554791171159945,-0.37273586277479254
-2.753253015772798,-0.24581386102436467
-2.7527667836641845,-0.23138124557453005
-2.7464029191588546,0.14819527833871302
-2.7427042919011706,0.3842012691374253
-2.7413090997083556,0.49318554399902603
-2.7324822756487235,1.0345131037219246
-2.728946538285756,1.2339145824609183
-2.7216665105064566,1.700753660695781
-2.704128311472622,2.6828466280673613
-2.702324669400982,2.8093468483215407
-2.6928664991963873,3.1893871027619447
-2.681565984447583,3.552144799534094
-2.6764875062556257,3.6543683701196876
-2.6759973225390166,3.6955014648494124
-2.6751851195189555,3.659312265432571
-2.671825778247035,3.7516751595749684
-2.6693710896894736,3.761332456240807
-2.6690780057155528,3.7550945047601547
-2.663719234011645,3.7874018460794496
-2.6618311392677905,3.7820978366990468
-2.6601888931018927,3.751402026993126
-2.6591004927013016,3.7312862594789786
-2.6567069340624494,3.7524358525686385
-2.6540575212125264,3.7193915825268475
-2.6479719361088776,3.6298781655640346
-2.64774524839257,3.560488142295635
-2.6465447542491045,3.5296910764074347
-2.6420444198536783,3.4147094322307914
-2.640729618628968,3.398329647428806
-2.6134011606512617,2.067722001404502
-2.6113173588040466,1.8854631137468434
-2.611302796345299,1.881978560067986
-2.604097769509262,1.3951767315108683
-2.600829371321339,1.144005659183831
-2.6002998412682983,1.0759566702977625
-2.5918297272820494,0.43728230525298256
-2.5799049312659603,-0.4224469941647488
-2.577397849807342,-0.6098573263304222
-2.573806912931583,-0.9254680869643841
-2.5645148341674417,-1.629825571067065
-2.5627818455853104,-1.7024713625157746
-2.539939575869748,-3.0932567814007244
-2.5137521742195537,-3.94575379152765
-2.4874002646084055,-3.7566616595871563
-2.4847179798138104,-3.686123913853625
-2.4813667035826557,-3.5877387641825216
-2.4752326796974633,-3.4019264906162237
-2.463719660782166,-2.8518361080082575
-2.46229806589424,-2.743871098378739
-2.4492022741808794,-2.0691144568829714
-2.4433339725620673,-1.7727838649987047
-2.423706538757913,-0.4907319058954593
-2.422548137749053,-0.39286221798837606
-2.415729845129726,-0.04539301316462598
-2.405938205289646,0.5292478216218837
-2.3954457984124353,1.0379573024457103
