n_harmonics,base_freq,magnitudes,instruments
10,1.871693886148389,"[-0.59803684 -0.64817565 -1.29566126  0.78571926 -0.66164794 -0.88428859
 -1.37755165  1.89261332 -0.69774828 -1.78074734]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9967389285999793,-0.7998608538207719
-2.9955172871692413,-0.8119582867036353
-2.9942518361129116,-0.8145112669127619
-2.9916313210162073,-0.8967622884634131
-2.985340438686581,-1.0134616276517363
-2.981491664193837,-1.1933425199685683
-2.980781739163592,-1.1614078020823895
-2.9805132028996573,-1.1611331273771222
-2.971300465370274,-1.3542295183805464
-2.967405849463392,-1.4313069884989893
-2.9629285608153344,-1.5472810597757518
-2.9583045834231374,-1.648379731246722
-2.955291319934575,-1.7290880220345448
-2.9511822963733834,-1.7882292192739533
-2.9508560045103107,-1.7890533444303773
-2.9503139907221767,-1.7972209158463879
-2.9399449846794528,-1.9756399637977817
-2.938951688467568,-1.9771363676682272
-2.931226017132979,-2.0695194795149585
-2.927179419693212,-2.097885054016733
-2.9173809961597845,-2.2009068556937392
-2.9135939139135187,-2.2402898856975115
-2.9114477751629577,-2.2490195753264186
-2.900490893932889,-2.2905557513358796
-2.891802034095603,-2.2707604380054747
-2.887943224717283,-2.2650924296024617
-2.8830294031082886,-2.2240759328372315
-2.8815512290309666,-2.238464516215927
-2.8811860085967704,-2.236581977888199
-2.8800761759182434,-2.2329774224470325
-2.875263355834916,-2.1899895125988373
-2.8620469606102503,-2.0751981941109534
-2.8527495220681747,-1.9539111946287941
-2.8406315939337348,-1.7230982960103725
-2.834728223527534,-1.600981763209527
-2.8328661236874852,-1.600867931714966
-2.832291483353477,-1.5498068182210185
-2.8259525971606134,-1.4137559433769267
-2.82531846186418,-1.4090232297557839
-2.8226513084361846,-1.4198553300222154
-2.8193979742821518,-1.3047357521003047
-2.8193411291697745,-1.3046802502712889
-2.7963882781042475,-0.8143899478720179
-2.794515983256801,-0.7498020091475539
-2.788861144461296,-0.6688946112381441
-2.7841510401481844,-0.5855234970513366
-2.7677730655027157,-0.3110562998998905
-2.762428876015116,-0.1807557833753578
-2.761446838465959,-0.16873715182691768
-2.7579157856347734,-0.1893180916152912
-2.7571748952286095,-0.1510747078324284
-2.753171138824537,-0.04109954016617546
-2.7416261812799494,0.031498167823581856
-2.7378518766145072,0.027054237324902957
-2.7363107334024646,0.006041850091895028
-2.73210671313764,0.08169658804010826
-2.7237456042458543,0.0726779926691569
-2.722397806791654,0.06461322853245233
-2.704326097625807,-0.0310429140462989
-2.7011535549268415,-0.12175411486654794
-2.698787542763688,-0.08947544761954583
-2.695391648906364,-0.11598638583399597
-2.692778021120086,-0.18008736237230982
-2.6872338140628256,-0.2534116317127325
-2.679285361478386,-0.4313541527050806
-2.67800599937991,-0.4700560209071689
-2.673051527520356,-0.5633430147691993
-2.667667152764799,-0.6833109122600218
-2.660364399482881,-0.9226020033849892
-2.654810966765579,-1.0257187172439508
-2.6506800566290925,-1.2218124100553596
-2.642020243431859,-1.4446190427364636
-2.632219653486178,-1.7476662936516163
-2.6318393177927266,-1.8225862471278043
-2.6317978680654144,-1.7675385271890576
