n_harmonics,base_freq,magnitudes,instruments
10,4.42232628237928,"[-0.72886902  2.8683669   0.26992387 -0.9964245   0.14777827  1.17296967
 -1.3838011  -1.43041977 -1.08826533  0.33538082]","[<ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'>]"
x,y
-2.9988480094173764,0.8488969869134596
-2.993721389085728,1.139330657494476
-2.993096877794832,1.2025899117675964
-2.9900810571966026,1.371727096108157
-2.9827019312369143,1.8020956976212468
-2.972582721502169,2.172360985674949
-2.9584264342491577,2.231695312306031
-2.9582794834862693,2.24034799497927
-2.9305042859448722,0.5235563159935066
-2.9294573415876535,0.36225390370688115
-2.921329602904013,-0.45733553627838636
-2.920117111199505,-0.5511067825356294
-2.911836269238691,-1.4569731562140371
-2.9115367750788126,-1.4988339663737602
-2.90817388370715,-1.8182295728101054
-2.903313321876177,-2.3160593445415296
-2.8969436058711278,-2.845592512978476
-2.8829602928499884,-3.6506777804056028
-2.8805841265184577,-3.7426876400846263
-2.868181774517045,-3.860299186679098
-2.86768777300997,-3.8202685954294062
-2.860704642365895,-3.699697495659504
-2.8575972849978086,-3.573427958740149
-2.8549569491801927,-3.495497474939969
-2.8521243136608794,-3.370356698728814
-2.8423140558757387,-2.8517519281552377
-2.8364598828820053,-2.5341450003448647
-2.8279992080184675,-2.1591480179030182
-2.8245949918637754,-2.0228095670769437
-2.823417017850576,-1.9882551170462257
-2.821621101871474,-1.8904346254225621
-2.820164138615735,-1.8665816403481195
-2.815115374920616,-1.778547445175568
-2.8123499217491856,-1.7298178815452667
-2.801776125034392,-1.700749041840262
-2.800722753233853,-1.73882575348154
-2.8004749806997795,-1.767825434490918
-2.768823889614371,-2.811297287646103
-2.7658637373328263,-2.9133611995130884
-2.7506587511923835,-3.189098356877567
-2.7393793459158733,-2.9944244304170184
-2.737277677104867,-2.951030224725965
-2.735415709746842,-2.835469288525409
