n_harmonics,base_freq,magnitudes,instruments
9,3.210636631079385,"[-0.56417988  2.31665448 -0.33387107 -0.72645182  1.74328799  1.72026184
  0.53521983  0.61897378 -0.42440912]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'>]"
x,y
-2.998885847157192,-0.7519704404778573
-2.995529536652276,-0.8754191969464977
-2.9930525975072197,-1.0023011809258502
-2.990452314234844,-1.1142776049109377
-2.990414421494961,-1.1271277775891144
-2.983130047268629,-1.4540999249232662
-2.981240672399337,-1.5585731928512028
-2.979835473749764,-1.616802943193993
-2.9735745464120225,-1.9097358536550442
-2.9649908969909964,-2.3036217860122217
-2.96248963922459,-2.427396200435477
-2.961513067190446,-2.4621131202746693
-2.9602868492872263,-2.5085582302203178
-2.9595529659579896,-2.5471879283582695
-2.9562268297439838,-2.697156653698323
-2.953481060901663,-2.803159276079594
-2.946577000873873,-3.058444725778912
-2.9451156209983598,-3.1061956179157213
-2.94141677523539,-3.220344294131335
-2.940847921446637,-3.232913673810177
-2.936017266981202,-3.336274789750481
-2.93546879532585,-3.3536530743452495
-2.9231256319766095,-3.5460578920228163
-2.917125793941456,-3.5676577149555198
-2.916134036187717,-3.5724886672711422
-2.9108661923791117,-3.5259622214863673
-2.907763118205347,-3.4879283167869164
-2.9065027365390983,-3.4778369713941006
-2.903862625346383,-3.440819735420437
-2.895675609959826,-3.27034491016309
-2.8951174717022385,-3.2618451755677365
-2.8794789680583293,-2.6668454318822024
-2.8786523169028326,-2.629255389536837
-2.8658709974870424,-1.9876414952943957
-2.8417918936233355,-0.5650837076307756
-2.837073757733786,-0.2915812740083302
-2.830169618039804,0.09892776320516575
-2.8199778946204384,0.6403548398209791
-2.817813826306116,0.753719610578479
-2.813578487706425,0.963355391661199
-2.791792409682862,1.7751622323259812
-2.791290613183582,1.7880606359452178
-2.7909537383585263,1.799650899427561
-2.790365178719907,1.8159212574815735
-2.780397537693541,2.048069400887869
-2.7721346086979883,2.1646797316993305
-2.7717367544151967,2.1542579916611095
-2.769531525895096,2.1827826355422264
-2.7625685638170947,2.248994318874279
-2.75640590644571,2.25023854273637
-2.753943157600407,2.2487026602988434
-2.7496668868324265,2.238659172475325
-2.740486909475102,2.2149274752543224
-2.7381266909065154,2.183111853477721
-2.7150510127266205,1.9836105788041352
-2.7133822800631937,1.9682754405778147
-2.7129863816940647,1.977503711557524
-2.712411847696832,1.960606675002009
-2.7120488354655583,1.9453625527810348
-2.6968181627464523,1.799298641408573
-2.6915721084413207,1.777473604707363
-2.690984797560163,1.7719294622234252
-2.680556033922292,1.6709245408020643
-2.671195156445802,1.5922226350882367
-2.668885317628991,1.5692744476318365
-2.6635749095217647,1.5370528164320867
-2.6567120486455567,1.4260007583794163
-2.6525790416795347,1.3739016741309387
-2.64713405910662,1.304398179005763
-2.637381933524471,1.148347487859744
-2.636981056270722,1.1354508469485964
-2.632298988594543,1.0269364702080122
-2.6285084984863536,0.9544915006127819
-2.627923681733944,0.9125037819827548
-2.6248287084707487,0.8276726088165457
-2.623136725163942,0.7916058242886899
-2.6224917294693784,0.7703291084221753
-2.6102209894970567,0.35714073719455464
-2.606074205671443,0.1962960934530171
-2.6053929591625096,0.14919489012325288
