n_harmonics,base_freq,magnitudes,instruments
10,1.3745900363935744,"[ 0.30393645 -0.46160873 -0.60346335  1.21074597  0.86064293 -0.16634228
  0.90924897  0.4272113  -0.47905477 -0.06895513]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9784859746581382,-2.0132101258083503
-2.970192039926091,-1.8598274356753492
-2.966874857170451,-1.8063508966604913
-2.9610061807630816,-1.6681980851411728
-2.9501564210085407,-1.4334768099397908
-2.949188493075668,-1.416671738232006
-2.948340032124748,-1.4026417602322856
-2.9413208109218747,-1.2100688400759274
-2.9403065941392557,-1.203087514814009
-2.9244869504596878,-0.8086293968352728
-2.920213921053966,-0.6847596229062377
-2.918286867964617,-0.641069450402248
-2.91031720355132,-0.43467153970781236
-2.904810340424494,-0.2961891369471394
-2.904642651575572,-0.29728495446574765
-2.9020468268832813,-0.24426089949050458
-2.8935827826325857,-0.015988805691566473
-2.883921035745294,0.2094657696061934
-2.8821266232544467,0.24511545709135718
-2.8803251855662246,0.2963863337915718
-2.8780259768944303,0.33568202295022365
-2.876950019447602,0.36180618676598836
-2.854125179976594,0.8186101114293508
-2.8511660883278864,0.8466744496201217
-2.8493145770338986,0.885422999649863
-2.847227953541289,0.9270777099443976
-2.846357174749273,0.9403524701925808
-2.8453679443182667,0.961364577347692
-2.8389346485999933,1.0257870963939106
-2.8205338040702634,1.2030429945791064
-2.8177917697181227,1.203191502063107
-2.8172834742023216,1.2140291169879673
-2.814610908365143,1.218830466086173
-2.809839377089486,1.2253248880039502
-2.8094165715151744,1.2379507870508872
-2.8041112387928644,1.2275748614088962
-2.792782736904873,1.2150301602830371
-2.790611634202406,1.1843414643352657
-2.78365340047705,1.1380906470473653
-2.771589269943102,1.01286224916999
-2.7700000199201416,1.0075691086842793
-2.765857352999155,0.9298223016954689
-2.7577947079586274,0.7958279130005865
-2.755629494647719,0.7511653094134851
-2.7523563767435775,0.6936495774791965
-2.749508587612433,0.6170215187087932
-2.7343603423538876,0.26606992108701827
-2.726981746076388,0.0699150213340242
-2.721884522234239,-0.08092030446577746
-2.720123086279381,-0.12762304479191686
-2.7127635387363496,-0.34603814928035076
-2.7115202368149545,-0.38802482351280415
-2.7062439535975953,-0.5600641490687819
-2.7061793848705333,-0.5606457748492694
-2.684025093299634,-1.2977415699200139
-2.6802617287727264,-1.4403117477096776
-2.6640720916650387,-2.0173922705706873
-2.65920121391666,-2.191156646310867
-2.6577174624004645,-2.257553301432824
-2.656488964309877,-2.2955218164662634
