n_harmonics,base_freq,magnitudes,instruments
5,4.627257479319161,"[-4.27274700e-04  1.44297539e+00 -6.13483838e-01  5.15162369e-01
  1.18710514e+00]",[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'>]
x,y
-2.9969200681152266,1.1890438091723834
-2.995735439588578,1.1770051142259248
-2.994561255260493,1.1934171137594507
-2.990656874241861,1.2066127210719124
-2.9895373368652365,1.1991079366121078
-2.98604191175792,1.2217877641811132
-2.981485328752105,1.20851764065988
-2.9649857064752485,1.0693538266544227
-2.9603765135829345,0.9701202478289895
-2.9582682668137052,0.959894535895445
-2.928461611651082,0.44385524431976314
-2.916953810371564,0.2752740013317214
-2.9160840875406855,0.27587117096685293
-2.910974573819221,0.15474621127194413
-2.899227590447503,-0.0003016047980507631
-2.8965735492931826,-0.05942631605206118
-2.893327752820956,-0.10705228267441914
-2.881693309326667,-0.2081975136372168
-2.8726219073485844,-0.2554478849958351
-2.871931756561278,-0.20661148518872838
-2.8631500739907647,-0.2586333443732371
-2.857125518171502,-0.21731291719247198
-2.853991156830209,-0.22294216639373385
-2.850850005004696,-0.20687741398348986
-2.840928628647446,-0.13326359235659313
-2.835249331087482,-0.017619243309800615
-2.824427156931202,0.09945812827573415
-2.8081835151532584,0.3852618606686229
-2.808054728612539,0.4019923075295592
-2.7894282041431717,0.7617857814594369
-2.787185828135736,0.8177680673043223
-2.7825165043453883,0.8776132705792176
-2.7716571664675786,1.0884119530706586
-2.769397902384756,1.1004272505239248
-2.7692623408182095,1.1146230553115637
-2.74639532790442,1.4056558435976698
-2.73503036049114,1.5351486620417314
-2.724481178480482,1.5176316526492917
-2.7135766431744317,1.4927408847563033
-2.7067548756791533,1.4395368435116858
-2.7024513389979132,1.4413006716796373
-2.690542849086733,1.2881898250742168
-2.6860962010931226,1.2782856424217446
-2.6847488859728585,1.2198352375166508
-2.683185978559724,1.2010117567819956
-2.6778066301104055,1.1208632596764876
-2.6738977159720925,1.0792325591327516
-2.671759356863647,1.0446513072502532
-2.6708597550150897,1.017990070220706
-2.66902739235136,0.9876065402817799
-2.6682775468242266,1.0001636816631505
-2.646516644134649,0.578764716353893
-2.6375456475557773,0.3911121889998643
-2.634759696024866,0.3171637809920592
-2.632905845726939,0.3079139422116677
-2.62386985514211,0.1125900384645099
-2.6225407896378874,0.06908575055986738
-2.61403972806682,-0.06033045643412055
-2.606357881674745,-0.1745871948287714
-2.587726329081011,-0.4473829781169708
-2.5750377406045777,-0.6347671643909001
-2.5660935047197015,-0.7542851911972484
-2.5576225329862377,-0.8732132442536629
-2.5511271645731215,-0.9275341244187292
-2.548024083656494,-0.9632114992392583
-2.540328057098508,-1.0204473907087268
-2.5275794440525092,-1.2271199077113226
-2.521918306173883,-1.3171507096543158
-2.4997855528420065,-1.67672295903998
-2.4949551857708956,-1.7863058628539128
-2.4934579484873414,-1.834081483571872
-2.489664800755844,-1.8829259047196492
-2.4895571206310176,-1.9142111621505424
-2.4888708533438884,-1.9017753251707659
-2.4872955054095853,-1.9350412148620897
-2.4862301984674873,-1.9319654717193746
-2.4631476487648207,-2.550100835670406
-2.461209951010381,-2.534447294918942
-2.4551422014874458,-2.708258585029989
-2.454221133739083,-2.749846450328019
-2.453242584635733,-2.7454180813115427
-2.4496783090441645,-2.820656198478541
-2.428779596515435,-3.311825104526214
-2.4225627863878794,-3.432176140571542
-2.419065047330654,-3.478012875921413
-2.417403821825528,-3.5387275317722313
-2.4137908595063484,-3.592785929836273
-2.411402570088841,-3.6063634422934565
-2.41054462071531,-3.626440463311548
-2.4069859583075317,-3.708950390567737
-2.4038903752909464,-3.70919075875026
-2.4006339052307557,-3.719189925282954
-2.396222484511386,-3.7757432611467947
-2.385398442385718,-3.7341794154907095
-2.383964042595005,-3.7796873217831832
-2.379413433020602,-3.7561406532326926
-2.3792980851348533,-3.7445753624099876
-2.3737751990398075,-3.7247896794206046
-2.3587282348514274,-3.4474230785820814
-2.3573423019068347,-3.3747982641425454
-2.3471063237109897,-3.113195010318647
-2.3414765002161357,-2.9125560512787985
-2.341079110867825,-2.9333078978139326
-2.336192296315247,-2.7062140477726944
-2.3295923605053206,-2.4237985593521647
-2.3278396880894006,-2.3781099373520855
-2.313612870343997,-1.6757279935347416
-2.2986227844751013,-0.8647353298978856
-2.2899028302576525,-0.34404635824991586
-2.2842306491031987,0.013879749292890292
-2.2735777542642146,0.5661016421148733
-2.2552638481301783,1.4643633263528746
-2.241142322009159,2.042349352291182
-2.2350598709722105,2.249512074020825
-2.2315739001011776,2.3509564474854523
-2.228072649774634,2.40206442089238
-2.2263239735021685,2.475783263888109
-2.224301096626534,2.540098718810278
-2.214947945313953,2.6935225697044385
-2.207197489228572,2.728465988924737
-2.1968855136180068,2.7163558376133543
-2.1836478679174887,2.5226458807321896
-2.179994391608627,2.4359993995003553
-2.172098071436952,2.228719707106769
-2.168927057524389,2.145258289952081
-2.166635814227995,2.0573382715311266
-2.1621450382401823,1.87788997324443
-2.160761945735377,1.8413178438851614
-2.144523091041882,1.160323394560393
-2.1401384556676057,1.0166793376991285
-2.13471931461131,0.747785283690432
-2.1322005700990716,0.6160498587705695
-2.131054577482593,0.6105727340155416
-2.1305053938626757,0.6051471914973434
-2.118547921809303,0.055687606135833956
-2.102989258028395,-0.5957262322673456
-2.0951893286605983,-0.8785205356155773
-2.0776090555449716,-1.325707634527824
-2.0739089146533716,-1.365573357989434
-2.0737624206971956,-1.38062245973843
-2.0664555503378983,-1.4757883948821058
-2.058279627732774,-1.5218791387073178
-2.035689853781511,-1.3518629901290877
-2.0248384526505805,-1.1309463306985632
-2.0239311046988204,-1.1215210461569785
-2.0232363719083115,-1.0576776936278751
-2.0216207778312714,-1.0309413145414208
-2.006109028162814,-0.5141661356651508
-2.001854494187029,-0.3675381149538233
-1.9958737449893211,-0.12546558328045213
-1.985444384916951,0.2835809705475707
-1.9818504177724965,0.39510338507073833
-1.9810228037364508,0.4778935794659573
-1.9778669626212733,0.5818438918738521
-1.9739373598180383,0.7475335874266291
-1.9703415505128885,0.8529042728714196
-1.9486187140721685,1.5903651619378234
-1.9467943882073362,1.6470442083097716
-1.940398189701096,1.8017356036427654
-1.9253575196975101,2.0913592097114075
-1.9100499053428877,2.2093292450957067
-1.9032835553506933,2.199347784810259
