n_harmonics,base_freq,magnitudes,instruments
8,1.5614368548715798,"[-0.44623635 -0.17759444 -1.06177201 -0.61267756  0.0463668   0.81610851
  2.28853949  0.99912358]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9989195344058714,-1.860790795439887
-2.9975778162261006,-1.886777847705195
-2.9889807570150033,-2.1059472803107906
-2.9819442012945316,-2.1436672533805816
-2.980387798457331,-2.191820266420756
-2.974233914741535,-2.2700926152353142
-2.9694362070009674,-2.2797311776465246
-2.9622780266547917,-2.4626087316953456
-2.9611393704033953,-2.358263462040319
-2.9485746372501973,-2.5840866835060208
-2.944999837263947,-2.658648386618346
-2.94421596241323,-2.6519922596569843
-2.935126872166565,-2.7290520359511166
-2.930935945699157,-2.7783313495687465
-2.9282720951939587,-2.8081913575850193
-2.919997897416291,-2.8810000105243714
-2.9181563666672647,-2.9396395020434514
-2.9064231961142544,-2.979342719901511
-2.904212774074563,-3.004810938065888
-2.901576468163346,-3.040869507248439
-2.9002605456781994,-3.06553902672966
-2.8999990621228124,-3.051010667725157
-2.8987336112653934,-2.996641431021784
-2.8968539177342345,-3.0613924199086053
-2.889469163458979,-3.1495789132716805
-2.8884312707725313,-3.1216471886445194
-2.8849756943616773,-3.1680099824430212
-2.8816527547024817,-3.1432770750610546
-2.8807422761129766,-3.2162337892727506
-2.8728645531684314,-3.182454695236638
-2.8693295712835694,-3.229757024252623
-2.8633108818507758,-3.252485361057543
-2.843617640170375,-3.404279045865172
-2.8177007810770105,-3.447506395989055
-2.803437832171782,-3.4503489167466532
-2.80338812122742,-3.52427759352544
-2.7993638745294724,-3.549174874195001
-2.796928786113104,-3.501135783177418
-2.791119376225641,-3.568656183593422
-2.7828648185846823,-3.523435616628393
-2.781486624844916,-3.5775755322069465
-2.778424208296495,-3.6115467866514037
-2.7755106400679157,-3.593271336730201
-2.7678805051793827,-3.5708757774159507
-2.764304013358845,-3.6062767199848675
-2.761787769552531,-3.6315761090640635
-2.755930106941599,-3.6273865592694605
-2.7545208013873737,-3.5900052549266386
-2.7539034383493473,-3.6141946926186534
-2.7491035940698247,-3.662396521363863
-2.748832917182103,-3.593925516346494
