n_harmonics,base_freq,magnitudes,instruments
10,1.524305925786222,"[-2.65355150e-01 -5.38282817e-02 -1.63180612e+00  5.91494730e-01
 -8.92208299e-01 -7.13839344e-01 -3.84976624e-01 -1.58614054e-04
 -1.71036210e-01 -4.40413953e-01]","[<ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.9922676968612105,-3.1980951026169384
-2.990235907480277,-3.1891351795301395
-2.989723056228727,-3.190052109242307
-2.982368530282153,-3.135353663307662
-2.977766092150487,-3.110254281066255
-2.964979986814373,-2.9873664262180295
-2.9643135490211767,-2.988678381164773
-2.9624849256102834,-2.976276616563165
-2.9603129948153564,-2.9420044893125614
-2.9505211631860453,-2.838868394751116
-2.948104451358171,-2.80201042760587
-2.9455739641982452,-2.7897327997041557
-2.9443122483097732,-2.783001906177642
-2.94393401616021,-2.7809541367785053
-2.941516296611498,-2.7386411280771386
-2.9405616781484403,-2.743604495199259
-2.940242325378257,-2.734763456325075
-2.931186788014182,-2.6227386327041384
-2.928451509208429,-2.572361296070195
-2.9282931700635384,-2.566575011727883
-2.9266457181607066,-2.54355688302541
-2.9212758521887587,-2.4628058319276693
-2.9185496416756997,-2.4282998805782112
-2.9178797532626612,-2.414508279187403
-2.9158689053351727,-2.387397143666613
-2.9074113354151985,-2.2524007108474198
-2.9016707358235094,-2.154061564510842
-2.89521341691663,-2.0326784914673204
-2.888324521041395,-1.8796871262132122
-2.8862170036950854,-1.8406737193544143
-2.8791264797379403,-1.6986266438650393
-2.8777443959156708,-1.6665279903369414
-2.876608315627097,-1.6438034351996689
-2.873399986771348,-1.5692533106520163
-2.864653262760423,-1.3697604455083408
-2.85970156178956,-1.25023009682625
-2.845856306500559,-0.9031016143378369
-2.838419503530063,-0.7234031659198995
-2.8375036181901474,-0.6926912051958596
-2.8335161951279004,-0.5961195080446549
-2.8319586187787253,-0.5537827264849201
-2.829615757703517,-0.4852737262344972
-2.8184238927028935,-0.1946519083470416
-2.8013374291966384,0.22688900592028427
-2.794224055226403,0.41668726266636447
-2.7916306862321756,0.47065959831852955
-2.7878914388722125,0.5682568759222623
-2.771552655650832,0.905700362853882
-2.7687037051465744,0.9626116372306708
-2.763903358955411,1.062708366297725
-2.7330970942134494,1.4729259507455457
-2.7280202647914136,1.498063583333094
-2.7205799722089172,1.5302384778345575
-2.718135290448875,1.536424639222776
-2.716961901319013,1.5479508500389314
-2.710853385490002,1.5556798269889878
-2.6952010667632775,1.481429485173531
-2.6914263721386322,1.4683994356651568
-2.685777153493215,1.3870499987506102
-2.6515999856563477,0.7817718013537625
-2.6443989235512944,0.5920778368712156
-2.632336160417399,0.22563514644130822
-2.6315441325174582,0.21304992037518256
-2.6216678086155127,-0.11757630097609365
-2.620645182887202,-0.15199215070802985
-2.6020438110316073,-0.8239491296440075
-2.5902185945217155,-1.2835480146715337
-2.5835279153411737,-1.5344152713822905
-2.5778297339150327,-1.7770886354292867
-2.5663384452038542,-2.220090759021058
-2.564216559616937,-2.29497457907337
-2.563722069729801,-2.317163144156016
-2.5623215105573522,-2.3713724746842484
-2.553660840333894,-2.6962334589825407
-2.551254329308236,-2.7845653529996777
-2.5506740841419493,-2.802762343892819
-2.5404642840244755,-3.1877650176168006
-2.529082936545646,-3.538186477933286
-2.5247853941301557,-3.675782432362258
-2.5057426223181327,-4.162074718051746
-2.4881544655321033,-4.461914429909943
-2.4870845336501333,-4.49274703945237
-2.486315565393512,-4.502537148329322
-2.485816112570367,-4.504905913998647
-2.472620117972893,-4.6392760060567575
-2.4659832484626554,-4.676031918152646
-2.4652511192053392,-4.659328931806256
-2.464340461474066,-4.656795861108619
-2.463315157324951,-4.667378221110981
-2.4630244481911974,-4.654992869947136
-2.4525421987408387,-4.644172119644864
-2.4506652788539482,-4.627707920534024
-2.443185818737792,-4.568560381133947
-2.4364922325271348,-4.493427349553459
-2.435177900086291,-4.4813639362506175
-2.433252786716535,-4.445694767103269
-2.43244478506203,-4.423675031765781
-2.4315708334503556,-4.4126758882095025
-2.426531731850397,-4.341436423109569
-2.4214307450063406,-4.225672721937159
-2.4086075554750788,-3.924994007634795
-2.4053160357013623,-3.823500624482382
-2.3978901525843916,-3.6174395820856255
-2.3944872029809563,-3.4904597690067183
-2.3836614852651437,-3.128307501021877
-2.3678126496709657,-2.5123871728657865
-2.3611985835334712,-2.257477154371449
-2.359453458114155,-2.1578579840783703
-2.3584056538998337,-2.1183107232512333
-2.3558549844349406,-2.0090547652057014
-2.349709012932247,-1.7481480235534899
-2.3487426661525235,-1.7120564094510773
-2.339784052192065,-1.3132061376123239
-2.3386000344094735,-1.2613242230319055
-2.3350983237979674,-1.1125782875550476
-2.3331174769425687,-1.02607755756898
-2.332933431454459,-1.0097227435250846
-2.3316813566586796,-0.9618287145219451
-2.3297386530708333,-0.865603960104023
-2.324990265062672,-0.664219642719426
-2.3180243156649265,-0.36716683641232306
-2.314278352831027,-0.20447945943260865
-2.313903216334419,-0.18765840852963453
-2.3113438432059117,-0.09028148992943553
-2.3093633315999544,0.016362538637449877
-2.3074133575969,0.08374629310334411
-2.3049374665449824,0.2032187500134845
-2.3034498290786205,0.25277240493541436
-2.2986247436611853,0.4364730027032772
-2.298012468860085,0.47633733867750594
-2.296676877747456,0.5251119030602117
-2.2959757691885008,0.5480769720786447
-2.2950720298041807,0.5886598770010261
-2.283961364814104,1.005571792291091
-2.2788288625796254,1.1776618656571782
-2.2758731352104444,1.2848413449352338
-2.2490045513255206,2.0305967398966125
-2.247243897069048,2.064035219993513
-2.24507201258855,2.1221101411312007
-2.2442839933446166,2.126253850665006
-2.2429391100532197,2.1475363448028832
-2.2387350310082343,2.2424892970153447
-2.2348111666354136,2.303736604326081
-2.2268371836482705,2.42932720525543
-2.2232776594252526,2.467365583487777
-2.219695353716565,2.5049170164743524
-2.2155382315065597,2.5308785880357143
-2.208361501992358,2.5735198861656383
-2.208036357213544,2.585445995523263
-2.203836651190309,2.5855630353730588
-2.1815768705065697,2.548179520205335
-2.1791419665370046,2.532907019669646
-2.1754805354555513,2.506913722645103
-2.1642967302610447,2.3763297058182884
-2.1606745806771825,2.3221892709624425
