n_harmonics,base_freq,magnitudes,instruments
10,2.9061524212789376,"[-0.38117974  0.00510205  1.50446904  2.22510524 -0.85016375 -1.53879135
  1.23613154  0.18711555 -1.84518159 -0.9291941 ]","[<ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9954311312558923,-0.05838731728573345
-2.993174444272909,-0.17381999997527708
-2.976826644527275,-0.984372658588637
-2.9742107741566017,-1.114781545937425
-2.9702592786124993,-1.3069766583865834
-2.96236921221698,-1.6777316301791971
-2.961728301250837,-1.695236438847979
-2.956040630136486,-1.974392728276389
-2.9454858893637414,-2.407283005756378
-2.9432905620641536,-2.45377498367511
-2.9246595195467986,-3.0918061770730096
-2.918489390469926,-3.2166405256550075
-2.9172389976935222,-3.2556880572746123
-2.913155432809157,-3.336694657462257
-2.910676690898428,-3.3641411433149373
-2.9080545923917067,-3.4057718304849183
-2.9065870500439255,-3.4364886065634472
-2.90420071789529,-3.4761454733779473
-2.889529421416247,-3.607155875752159
-2.8855647885432862,-3.5920919005117833
-2.885560172315892,-3.584714818302455
-2.880842797902897,-3.5869231478498294
-2.8779541232114774,-3.594127695528004
-2.873859392288499,-3.5911220655628537
-2.8692964932228437,-3.5594383632240154
-2.8643862233147415,-3.5401106666110027
-2.859080635205885,-3.484031000779847
-2.8529419714771516,-3.396909577590692
-2.844246940860451,-3.3278657582991293
-2.8435641651078907,-3.2794522654366247
-2.8397196276341803,-3.2540205909651623
-2.8305753376332485,-3.10255710917899
-2.8156275289937116,-2.848822261159516
-2.809579172252917,-2.7075161402626087
-2.8075279213452866,-2.679726190993373
-2.797972043881494,-2.4175999442148135
-2.787935646548016,-2.176063210817391
-2.787830395795317,-2.167360172179928
-2.7861738869351287,-2.1165458915447752
-2.766170944543223,-1.5133989119850408
-2.7546191656113095,-1.0817787399737775
-2.7437505657636434,-0.6717200593485092
-2.7318859593143223,-0.21181782248757502
-2.7269489487227574,-0.030575906702332276
-2.7228700069501808,0.11109437791839856
-2.712336911143817,0.46529104955639994
-2.704826690731059,0.7001862559425093
-2.698660066010268,0.8576882078358993
-2.6965761587266703,0.8872060947396146
-2.69548479769195,0.9208030431368336
-2.6954637888267943,0.9425108187721695
-2.695023010040929,0.9409974203168219
-2.6761676536130774,1.2117151247414284
-2.676013180670198,1.2151523496626513
-2.674863273021992,1.224950425129447
-2.6739057224057747,1.2162129612772636
-2.6729208562636897,1.2132123400978605
-2.669073511127836,1.2043518498969343
