Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=CC(=O)C2=CC=CC=C2C1=O,12.48
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,8.37
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,3.9
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)C,5
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)C,6.34
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)C,6.25
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)N3CCN(CC3)C,5.62
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)N3CCN(CC3)C,5.52
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,3.83
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=CC=CC=C5C4=O)C,4.09
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,4.02
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,3.18
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,3.2
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,3.22
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,3.09
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCNC4=C(C(=O)C5=CC=CC=C5C4=O)C,5.06
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,4.68
CN1CCN(CC1)C(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)N4CCN(CC4)C,5.46
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,3.34
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,3.24
CN1CCN(CC1)CCCNC(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)NCCCN4CCN(CC4)C,4.15
CN1CCN(CC1)CCCNC(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)NCCCN4CCN(CC4)C,4.86
CN1CCN(CC1)CCCNC(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)NCCCN4CCN(CC4)C,3.95
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,3.23
CN1CCN(CC1)C(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)N4CCN(CC4)C,4.69
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,3.22
