Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,11.49
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C)N,7.63
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,7.37
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,6.64
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)N,8.72
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)N,7.94
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCN(CC4)C)N,9.07
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)OCC(=O)N4CCOCC4)N,7.09
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,7.19
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=CN=C3)N,7.58
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)S(=O)(=O)C)N,5.46
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C(=O)N(C)C)N,6.49
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)C)F)N,8.19
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,8.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,8.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CCO)N,7.05
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)N(C)C)N,6.29
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)N,7.83
CCN(CC)CCNC(=O)C1=CC=C(C=C1)C2=CC(=C(N=C2)N)SC(C)C3=C(C=CC(=C3Cl)F)Cl,7.25
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,8.63
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CC(=O)N(C)C)N,7.18
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC4=C(C=C3)NC(=O)C4)N,7.38
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)CCO)N,6.56
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)F)N,7.71
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)S(=O)(=O)C)N,5.66
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCOCC4)N,8.02
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCOCC4)F)N,7.48
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C)N,8.52
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N(C)C)N,8.69
CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC(=C(N=C3)N)SC(C)C4=C(C=CC(=C4Cl)F)Cl,7.54
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)CO)N,6.05
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)C)N,8.65
