Inhibition of human CYP11B2 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,17.22
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,19.04
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,10.17
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,20.13
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,24.59
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,23.09
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,21.71
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,16.35
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,29.95
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,22.91
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,16.26
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,21.68
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,13.21
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,22.66
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,21.37
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,25.18
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,14.24
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,29.02
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,11.57
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,12.25
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,13.74
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,21.81
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,24.75
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,12.74
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,21.23
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,8.04
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,24.74
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,36.08
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,24.08
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,29.63
