Inhibition of human cytomegalovirus DNA polymerase (95 uL) activity in a solution containing 6.4 mM HEPES (pH 7.5), incubation for 12 minutes at 26 degrees C
C(=O)(O)P(=O)(O)O,5.35
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,7.91
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],1.56
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)C#CCO)CCO)Cl,5.04
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,5.68
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)CCCO)Cl,5.11
CN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,6.54
CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,6.31
CC(C)N1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,5.74
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)CCCO)CCO)Cl,5.19
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,6.02
CN1C=C(C(=O)C2=C1SC(=C2)CO)C(=O)NCC3=CC=C(C=C3)Cl,4.84
CN1C=C(C(=O)C2=C1SC(=C2)CCO)C(=O)NCC3=CC=C(C=C3)Cl,5.51
CN1C=C(C(=O)C2=C1SC(=C2)CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,6.5
CN1C=C(C(=O)C2=C1SC(=C2)CCCCCO)C(=O)NCC3=CC=C(C=C3)Cl,5.12
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCO)C(=O)NCC3=CC=C(C=C3)Cl,5.13
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,4.76
CN1C=C(C(=O)C2=C1SC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,6.61
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)CCCO)Cl,7.76
CN1C=C(C(=O)C2=C1C=CC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,9.95
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)C#CCO)Cl,5.03
CN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,6.13
CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,5.87
CC(C)N1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,5.49
