Inhibition of human recombinant 5'-c-myc, His6-tagged p38-alpha using MK2 (46 to 400) as substrate assessed as inhibition of phosphorylation after 60 mins by ELISA in presence of ATP
CC1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,10.4
C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,11.01
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,8.3
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)Cl,10.97
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)F,11.09
CC1=CC=CC=C1OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,11.13
C1=CC=C(C(=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3)Cl,11.26
C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)OC3=CC=CC=C3C#N,10.22
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CN=CC=C3,8.34
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=NC=NC=C3,6.32
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,7.78
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)F)C,14.83
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C#N)C,11.06
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)OC)C,8.62
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)C)C,7.51
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)O)C,8.39
CCCC1=C(C=NN1C2=CC=C(C=C2)Cl)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,6.92
CCCC1=C(C=NN1C2=CN=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,6.22
CCCC1=C(C=NN1CC2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,7.85
CCCC1=C(C=NN1CC(C)C)C(=O)NC2=C(C=CC(=C2)S(=O)(=O)N(C)C)C,7.68
