Inhibition of electric eel AChE preincubated for 30 mins prior to horseradish peroxidase, H2O2 and DETAPAC addition measured for 20 mins under ROS condition by Muraoka and Miura method
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,17.32
CCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,34.88
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCN,12.83
CCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,32.5
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.22
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCN,17.5
CCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,31.19
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,10.01
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCN,15.91
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCCCN,17.36
CCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,30.42
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.6
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCO,19.06
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.27
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.36
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCN,17
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,7.86
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.31
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.96
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.55
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,11.39
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.41
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.37
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.61
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,8.2
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,11.79
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCN,14.1
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCN,11.83
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCN,15.35
CCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,29.55
CCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,26.48
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCO,12.89
