Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])phenylmethoxy]biphenyl-3-yl}methoxy)phenyl] propanoic acid from human GPR40 receptor expressed in CHO cell membrane after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,16.11
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,15.77
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,7.66
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C.Cl,11.42
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,11.75
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C,7.62
CC1=C(C(=CC=C1)C)C2=CC(=CC(=C2)OC)COC3=CC(=C(C=C3)CCC(=O)O)F,12.56
CC1=C(C(=CC=C1)C)C2=C(C=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O)OC,13.14
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,7.96
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,6.36
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OC,13.63
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4=CC=CC=C4,14.03
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,12.19
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCOCC4,11.85
CC1=NC(=CC=C1)OC2=CC(=C(C(=C2)C)C3=CC(=CC=C3)COC4=CC(=C(C=C4)CCC(=O)O)F)C.Cl,11.54
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCCCN4CCCC4=O,10.09
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,6.52
CC1=C(C(=CC=C1)C)C2=C(C(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,15.55
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4CC4,13.98
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,7.93
CC1=C(C(=CC=C1)C)C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)CCC(=O)O,11.27
