Inhibition of Lactobacillus casei thymidylate synthase using N5,N10-methylene tetrahydrofolate by chromogenic assay
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,7.98
C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)Cl)C5=CC(=C(C=C5)O)Cl,9.22
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=NC=C3)Cl,9.23
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)C,9.59
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O,5.11
CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,9.59
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C#N,7.61
CN1C(=O)C2=C(C1=O)C(=CC=C2)CBr,10.76
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)O)C(=O)O,4.2
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O,5.32
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,5.57
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCCOC,7.48
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCC3=CC=CS3,7.11
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)S(=O)(=O)O,4
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4,8.1
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC=C3)O,7
CCOC(=O)C1=CC=C(C=C1)NCC2=CC=CC3=C2C(=O)N(C3=O)C,5.62
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C(=O)C4=CC=CC=C4,7.3
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C#N,5.86
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC(=CC=C3)S(=O)(=O)N,3.75
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C4=CC=CC=C43)[N+](=O)[O-],5.25
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=N)N.Cl,5.78
CC1=CC=CC2=C1C(=O)N(C2=O)CCC3=CC=CS3,6.64
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)Cl)C,5.94
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCP(=O)(O)O,4.73
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(F)(F)F,12.99
CC1=CC=CC2=C1C(=O)N(C2=O)C3=NC=CS3,7.03
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC4=C3C=CN4,8.66
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=NC=C(C=C3)C(=O)O,4.59
