Inhibition of the DNA repair Poly (ADP-ribose) polymerase 1, in permeabilised L1210 murine leukemia cells
C1=CC(=CC(=C1)N)C(=O)N,6.83
CC1=CC=CC2=C1CCNC2=O,21.84
CC1=CC=CC2=C1NC(=C3C=CC(=O)C=C3)NC2=O,10.05
C1=CC2=C(C(=C1)O)NC(=C3C=CC(=O)C=C3)NC2=O,7.56
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)N,6.81
C1=CC(=CC(=C1)O)C(=O)N,8.05
CC1=NC(=O)C2=C(N1)C(=CC=C2)O,10.37
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,13.17
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],6.01
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],7.5
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,9.73
C1=CC=C2C(=C1)C=CNC2=O,14.5
C1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)O,9.02
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],5.92
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(=O)OC,7.36
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,8.82
COC1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)OC,8.84
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)OC,12.17
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,9.41
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,7.98
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,7.43
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N=[N+]=[N-],5.44
CC1=NC(=O)C2=C(N1)C(=CC=C2)OC,11.06
CC1=CC=CC2=C1NC(=NC2=O)C,13.93
