Inhibition of dopamine uptake into rat striatal tissue, using [3H]- dopamine as the radioligand.
CN(C)CC1C2CCC(C1C3=CC(=C(C=C3)Cl)Cl)CC2,232.5
C1CC2CC1C(C2C3=CC=CC=C3)CN,23.28
C1CC2CC1C(C2C3=CC(=CC=C3)Cl)CN,23.47
CN(C)CC1C2CCC(C1C3=CC=C(C=C3)OC)CC2,46.87
COC1=CC=CC=C1C2C3CCC(C3)C2CN,12.59
C1CC2CC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,27.01
C1CC2CC1C(C2C3=CC=C(C=C3)Cl)CN,25.51
COC1=CC=C(C=C1)C2C3CCC(C3)C2CN,14.91
COC1=CC=CC(=C1)C2C3CCC(C3)C2CN,14.7
C1CC2CCC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,28.7
C1CC2CCC1C(C2C3=CC=C(C=C3)Cl)CN,27.54
C1CC2CCC1C(C2C3=CC(=CC=C3)Cl)CN,23.13
C1CC2CCC1C(C2C3=CC=CC=C3)CN,20.09
CN(C)CC1C2CCC(C2)C1C3=CC=CC=C3,165.54
CN(C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2,202.11
C1CC2CCC1C(C2C3=CC=C(C=C3)N)CN,11.82
CN(C)CC1C2CCC(C1C3=CC=CC=C3)CC2,187.52
COC1=CC=C(C=C1)C2C3CCC(C2CN)CC3,16.52
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,11.45
CN1C2CCC1C(C(C2)C3=CC=C(C=C3)F)C(=O)OC,24.68
