Inhibition of human CYP11B1 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,18.26
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,22.7
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,11.44
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,23.34
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,25.79
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,28.78
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,23.71
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,17.12
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,31.41
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,24.59
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,16.33
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,22.21
C1=CC=C(C=C1)C2=NC=C(C=N2)CN3C=CN=C3,13.65
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,15.85
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,22.49
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,23.52
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,29.07
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,17.12
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,33.74
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,13.02
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,13.23
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,14.25
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,24.36
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,25
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,13.5
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,22.99
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,9.25
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,26.78
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,34.47
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,27.19
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,31.89
