Inhibitory effect against recombinant human protein-tyrosine phosphatase 1B (PTP1B), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,3.06
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.3
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,3.73
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,3.86
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,3.73
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,3.39
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,3.25
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,3.51
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.57
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,3.4
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,3.75
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,3.95
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3,4.86
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=NC4=CC=CC=C4C=C3,3.88
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=NC=C3,4.02
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=C3,4.44
CN1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,4.44
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,3.44
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CN=CC=C3,4.08
C1CNCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,4.54
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,3.76
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,2.99
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,3.15
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,3.23
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,4.47
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,3.79
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,3.86
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.49
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,4.27
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.7
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,4.68
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=N3,4.05
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,3.14
COC1=CC=CC(=C1)CN2CCC3=C(C2)SC(=C3C(=O)O)NC(=O)C(=O)O,4.26
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.1
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.7
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,3.97
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,3.36
