Displacement of [125I][Phe13,Tyr19]-MCH from human MCHR1 expressed in HEK293 cells by scintillation counting analysis
COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC,13.7
COC1=C(C=C(C=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OC,10.25
COC1=C(C=C(C=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OC,10.33
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,15.68
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCCN5CCCC5,12.68
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,11.58
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,11.08
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCC(C5CC5)O,8.84
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,8.51
CNC1CCN(C1)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,14.29
C1C(CN1C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl)O,10.58
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,11.19
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=NC=C(C=C5)Cl,7.95
C1CN(CC1N2CC(C2)O)C3=NC=C(C=C3)N4C=NN5C=C(C=C5C4=O)C6=CC=C(C=C6)Cl,11.78
C1CN(CCC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,10.71
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,11.32
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CCC(C5)O,11.83
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CC(C(C5)O)O,9.4
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,11.1
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,7.26
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,8.84
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,9.18
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)N5CCC(C5)O,9.67
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OC)O,5.94
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,9.18
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,7.73
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC(C5CC5)O,7.61
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,5.22
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC5(CC(C5)(F)F)O,7.88
