Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])-phenylmethoxy]biphenyl-3-yl}methoxy)phenyl]propanoic acid from rat GPR40 expressed in CHO cells after 90 mins by liquid scintillation counting in the presence of 0.2%BSA
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,9.38
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,6.21
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C.O,6.38
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,8.92
CCC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)CC)OCCCS(=O)(=O)C,6.75
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,6.3
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(CCS(=O)(=O)CC5)O,5.3
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=C(N=C(S5)C)C,6.07
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OCCCS(=O)(=O)C)C,6.44
CC1=C(C(=C(C(=C1Cl)OCCCS(=O)(=O)C)Cl)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O,6.72
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,5.85
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=CC=CC6=NC=CN65,8.17
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,9.54
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,7.62
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,6.3
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCN5CCCC5=O,7.94
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OC5CCS(=O)(=O)CC5)C,5.95
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OC5CCS(=O)(=O)CC5,6.11
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OCCCS(=O)(=O)C,6.23
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,8.79
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,6.91
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCN(CC5)C.Cl,10.52
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)Cl)OCCCS(=O)(=O)C,6.47
