Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O,10.97
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,7.66
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)N=CC=C4)CC(=O)O,6.45
COC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)OC,4.75
COC1=C2C(=CC=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,5.82
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,7.2
COC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,5.52
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)C(F)(F)F)C(F)(F)F)CC(=O)O,5.27
COC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,6.28
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)Cl)CC(=O)O,6.32
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)F)CC(=O)O,6.99
COC1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,6.3
CC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,6.81
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,5.74
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=C(S3)C=CC5=CC=CC=C54,6.64
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O,5.87
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4Cl)Cl)CC(=O)O,6.3
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)F)F)CC(=O)O,7.47
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=C(C=C4S3)Cl)Cl)CC(=O)O,6.09
C1C2(C3=C(N1CC4=CC=C(C=C4)F)C=CC(=C3)F)C(=O)NC(=O)N2,11.16
C1C2(C3=C(N1CC4=NC5=CC=CC=C5S4)C=CC(=C3)Cl)C(=O)NC(=O)N2,7.25
CC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,5.85
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Br)CC(=O)O,6.83
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC=C4Cl)CC(=O)O,7.61
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4F)F)CC(=O)O,7.2
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC(=C4S3)C(F)(F)F)CC(=O)O,7.2
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Br)CC(=O)O,7.04
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)C(F)(F)F)C(=N3)CC(=O)O,6.97
C1=CC=C2C(=C1)C(=NN(C2=O)CSC3=NC4=CC=CC=C4S3)CC(=O)O,5.2
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)C(F)(F)F)C(=N3)CC(=O)O,7.13
C1=CC=C2C(=C1)C(=NN(C2=O)CCC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,5.7
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)F)CC(=O)O,6.45
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CC(=O)O,6.44
CC1=C(C2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,5.85
COC1=CC2=C(C=C1C(F)(F)F)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4.46
COC1=CC2=C(C(=C1)C(F)(F)F)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,5.14
CC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)C,7.41
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Br)C(=N3)CC(=O)O,5.55
CC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,6.83
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Cl)C(=N3)CC(=O)O,6.72
CS(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,3.64
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)F)CC(=O)O,7.83
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Cl)CC(=O)O,8.1
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)[N+](=O)[O-])C(=N3)CC(=O)O,4.68
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Cl)CC(=O)O,7.33
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Cl)CC(=O)O,6.41
CSC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,5.29
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C(=C4)C(F)(F)F)O)CC(=O)O,5.27
CC(C)C1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4.95
COC1=C(C=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,4.69
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Br)CC(=O)O,7.66
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=CC(=C3)C4=NC5=CC=CC=C5S4)CC(=O)O,4.72
CC(C1=NC2=C(S1)C=CC(=C2)Cl)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,6.83
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)Cl)C(F)(F)F)CC(=O)O,5.59
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)Cl)CC(=O)O,7.47
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)Cl)CC(=O)O,7.56
CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,3.76
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)Cl)Cl)CC(=O)O,5.74
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)O)CC(=O)O,5.62
COC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4.47
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=CC=CC=C5C(=N4)CC(=O)O,5.66
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)F)C(F)(F)F)CC(=O)O,6.3
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])C(=N3)CC(=O)O,4.77
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=NC4=CC=CC=C4S3,3.86
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)F)CC(=O)O,7.39
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)Cl)Cl)CC(=O)O,6.93
CC(C)C1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,6.26
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)O)CC(=O)O,4.57
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)Cl)CC(=O)O,6.26
C1=CC2=C(C=C1Br)SC(=N2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,5.17
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Cl)C(=N3)CC(=O)O,7.04
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Br)C(=N3)CC(=O)O,7.13
CC(C1=NC2=C(S1)C=CC(=C2)C(F)(F)F)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,6.69
CC(C)C1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,6.26
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)C(F)(F)F)CC(=O)O,6.84
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC=C4F)C(=N3)CC(=O)O,6.77
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)O)CC(=O)O,5.33
CC(C1=NC2=CC=CC=C2S1)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,6.63
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,6.95
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)F)CC(=O)O,7.35
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)O)O)CC(=O)O,4.66
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)F)CC(=O)O,7.38
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O.O,5.81
