Inhibition of human CYP11B1 expressed in hamster V79MZh11B1 cells using [1,2-3H]-11-deoxycorticosterone substrate incubated for 25 mins by HPLC method
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,18.26
C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,11.3
C1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,13.39
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,14.07
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,7.76
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC(F)(F)F,12.15
COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,11.34
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)Cl,13.12
CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,13.77
C1=CC(=C(C=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)F)F,13.69
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,13.26
C1=CC(=CC(=C1)C(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,14.43
C1=CC(=CC(=C1)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,13.87
C1=CC2=C(C=C1OCC3=CC(=CC(=C3)F)F)OC(=O)C=C2CN4C=CN=C4,13.77
COC1=CC=CC(=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,11.7
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)[N+](=O)[O-],7.01
CCCOC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,11.51
CC(C)OC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,11.7
C1=CC=C(C=C1)CCOC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,12.35
COC1=C(C=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC,10.09
COC1=CC(=CC(=C1OC)OC)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,9.01
C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,15.47
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,14.67
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,8.47
C1=CC(=CC(=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)C#N,11.08
C1=CC(=CC=C1COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)OC(F)(F)F,13.05
C1=CC(=CN=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,11.03
