Inhibition of N-terminal GST-tagged FGFR1 using poly(Glu,Tyr) as substrate after 30 mins by alphascreen assay
CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O,6.95
CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,7.73
CC1=CC=CC=C1C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,11.58
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,8.7
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)C(=O)O)N2,7.1
CCCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,7.47
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)C(F)(F)F)C4=C5C=CC=CC5=NC4=O)N2,9.19
CCCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,5.81
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,9.67
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,10.73
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)Br)NC2=O)C4=NC5=CC=CC=C5N4,9.19
COCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,6.97
CN1CCN(CC1)C(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,8.8
CCN1CCC(CC1)OC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,9.69
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC(=C6)F)F,11.08
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=CN5,10.8
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC(=C4)F)F)C5=NC=C(N5)C,11.16
CC1=CC=CC(=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,10.54
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,11.64
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)Cl)Cl)C4=C5C=CC=CC5=NC4=O)N2,10.63
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)Br,9.19
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)C(=O)O,4.85
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,9.41
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,7.55
CN1CCN(CC1)S(=O)(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,5.35
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)Br,10.99
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,11.36
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4F)C5=NC=C(N5)C,11.08
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)F)C4=C5C=CC=CC5=NC4=O)N2,10.42
CCOC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,7.76
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)C(=O)O)NC2=O)C4=NC5=CC=CC=C5N4,6.1
COCCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,8.92
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)C,10.95
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=C(N5)C,11.5
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC=C3)F)C4=C5C=CC=CC5=NC4=O)N2,12.29
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC(=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,9.34
COC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,10.54
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)N)C4=C5C=CC=CC5=NC4=O)N2,8.64
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)N)N2,7.93
COCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,5.38
CCN1CCCC(C1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,8.1
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)OC,9.55
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC=C6)F,11.36
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=C(C=C4)Cl)C5=NC=CN5,11.26
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,7.49
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4)C5=NC=CN5,10.84
