Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])phenylmethoxy]biphenyl-3-yl}methoxy)phenyl] propanoic acid from rat GPR40 receptor expressed in CHO cell membrane after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,16
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,16.27
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,8.2
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C.Cl,12.11
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,12.31
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C,8.26
CC1=C(C(=CC=C1)C)C2=CC(=CC(=C2)OC)COC3=CC(=C(C=C3)CCC(=O)O)F,12.41
CC1=C(C(=CC=C1)C)C2=C(C=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O)OC,12.66
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,8.52
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,6.88
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OC,14.72
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4=CC=CC=C4,14.66
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,12.84
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCOCC4,12.58
CC1=NC(=CC=C1)OC2=CC(=C(C(=C2)C)C3=CC(=CC=C3)COC4=CC(=C(C=C4)CCC(=O)O)F)C.Cl,11.91
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCCCN4CCCC4=O,10.53
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,6.82
CC1=C(C(=CC=C1)C)C2=C(C(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,16.17
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4CC4,14.8
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,8.34
CC1=C(C(=CC=C1)C)C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)CCC(=O)O,8.97
