Effect on histamine H3 receptors in vitro, on synaptosomes of rat cerebral cortex for the release of [3H]histamine
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,10.26
C#CC1=CC=C(C=C1)OCCCC2=CN=CN2,22.79
C1=CC(=CC=C1C#N)OCCCC2=CN=CN2,12.84
CCOC(=O)CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,8.51
CCCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,14.83
CCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,15.65
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,16.29
C1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,14.97
C1CCC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,14.81
CC(=O)C=CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,14
CC(=O)CCC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,12.81
CC(=O)CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,13.23
C1CN(CC2=C1NC3=C2C=C(C=C3)F)CCCC(=O)C4=CC=C(C=C4)OCCCC5=CN=CN5.C(=CC(=O)O)C(=O)O,8.63
C1=CC(=CC=C1C=CC=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,13.63
CS(=O)(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,9.2
CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,16.55
C1=CC(=CC=C1C=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,14.41
C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=O)(C(=O)O)O,19.15
C1=CC(=CC=C1CO)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,13.85
COC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,18.37
C1=CC(=CC=C1O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,13.32
CCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,16.61
CCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,15.61
C1CCC2=C(C1)C=CC(=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,19.38
C1CC2=C(C=CC(=C2)OCCCC3=CN=CN3)C(=O)C1.C(=CC(=O)O)C(=O)O,14.34
CCC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,13.18
C1CC2=C(C1)C=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,19.58
C1CC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,16.46
CC1=C(C=CC(=C1)C(=O)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,15.13
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)OC.C(=CC(=O)O)C(=O)O,10.1
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)C(F)(F)F.C(=O)(C(=O)O)O,14.13
CC1=CC(=CC(=C1C(=O)C)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,12.82
CC1=C(C=CC(=C1)OCCCC2=CN=CN2)C(=O)C.C(=CC(=O)O)C(=O)O,16.23
CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,15.86
CC(C)(C)CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,13.77
CC(C)C(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,15.13
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,11.05
C1=CC(=CC=C1C(=O)CCCC(=O)O)OCCCC2=CN=CN2.Cl,7.92
C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,16.93
