Cytotoxic activity tested against exponentially growing KB cells, determined by staining method
C1=C(C2=C(N1COCCO)N=CN=C2N)C(=S)N,115000
CCCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
C=CCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CN1C=C(C2=C1N=CN=C2N)C#N,100000
CCCN1C=C(C2=C1N=CN=C2N)C#N,100000
CN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CCCN1C=C(C2=C1N=CN=C2N)C(=S)N,17000
C1=C(C2=C(N1COC(CO)CO)N=CN=C2N)C(=S)N,100000
C=CCN1C=C(C2=C1N=CN=C2N)C(=S)N,19000
CN1C=C(C2=C1N=CN=C2N)C(=S)N,15000
C=CCN1C=C(C2=C1N=CN=C2N)C#N,100000
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C#N,30
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C(=O)N,80
CCOCN1C=C(C2=C1N=CN=C2N)C#N,100000
COCCOCN1C=C(C2=C1N=CN=C2N)C(=S)N,183000
CCOCN1C=C(C2=C1N=CN=C2N)C(=S)N,68000
COCCOCN1C=C(C2=C1N=CN=C2N)C#N,100000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C#N,100000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,7000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,75000
C1=C(C2=C(N1)N=CN=C2N)C#N,18000
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,3000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,28000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,32000
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C(=S)N,17000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,65000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C(=S)N,100000
CC1=CC(=CC=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,30000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,900
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,47000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC1=CC(=CC=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
CCOCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
C1=C(C2=C(N1)N=CN=C2N)C(=S)N,25000
COCCOCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C(=S)N,30
