Inhibitory concentration required to reduce human Jurkat leukemia (JLC sensitive, wild type) cell number to 50% of control cultures
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,37
CN(C)CCNC(=O)C1=CC=CC2=CC3=CC=CC=C3N=C21,580
CC1=CC=CC2=C1N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,46
CN(C)CCNC(=O)C1=CC=CC2=C(C3=CC=CC=C3N=C21)N,27
CCC1=CC=CC2=C1N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,137
CC(C)C1=CC=CC2=C1N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,2500
CN(C)CCNC(=O)C1=CC=CC2=C1N=C3C(=C2)C=CC=C3C4=CC=CC=C4,1665
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)Cl)N=C21,4.2
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)OC)N=C21,111
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)Br)N=C21,756
CN(C)CCNC(=O)C1=CC2=C(C=C1)N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,1125
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)Br)N=C21,26
CC1=C2C=CC=C(C2=NC3=CC=CC=C13)C(=O)NCCN(C)C,436
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)C(F)(F)F)N=C21,6390
CCC1=CC2=C(C=C1)N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,1840
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)N(C)C)N=C21,2480
CN(C)CCNC(=O)C1=CC=CC2=C(C3=CC=CC=C3N=C21)C4=CC=CC=C4,2700
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)OC)N=C21,1590
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)C4=CC=CC=C4)N=C21,240
CC(C)(C)C1=CC2=C(C=C1)N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,4390
CC(C)C1=CC2=C(C=C1)N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,7000
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)Cl)N=C21,753
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)F)N=C21,424
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)Br)N=C21,446
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)O)N=C21,508
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)Cl)N=C21,397
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)F)N=C21,455
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)OC)N=C21,580
CC1=CC2=C(C=C1)C=C3C=CC=C(C3=N2)C(=O)NCCN(C)C,625
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)C(F)(F)F)N=C21,75
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)F)N=C21,103
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(N=CC=C3)N=C21,1420
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C(=CC=C3)N(C)C)N=C21,5710
CC1=CC2=C(C=C1)N=C3C(=C2)C=CC=C3C(=O)NCCN(C)C,1350
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=CC=C3Cl)N=C21,919
CC1=C2C=C3C=CC=C(C3=NC2=CC=C1)C(=O)NCCN(C)C,1060
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)C(F)(F)F)N=C21,1350
CN(C)CCNC(=O)C1=CC=CC2=CC3=C(C=C(C=C3)N(C)C)N=C21,212
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,9.6
