Inhibition of electric eel AChE preincubated for 30 mins prior to horseradish peroxidase, H2O2 and DETAPAC addition measured for 20 mins under ROS condition by Muraoka and Miura method
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,183
CCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,2.03
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCN,293
CCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,7.95
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,1.85
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCN,1.22
CCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,16.9
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.299
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCN,7.85
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCCCN,1.44
CCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,26.2
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,6.55
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCO,2.47
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.4
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,1.49
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCN,2.18
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,33
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.4
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,2.96
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,7.39
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,29.8
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,10
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,6.72
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,1.02
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,15.6
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,16.2
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCN,65.8
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCN,938
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCN,15.1
CCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,43.2
CCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,252
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCO,1520
