Inhibitory activity against Plasmodium falciparum cyclin dependent protein kinase, Pfmrk
CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO,1e+06
CCC(CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C,1e+06
CC(C)C(CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C,26000
C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,15000
C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],51000
C1=CC=C2C(=C1)C(=C(C#N)C#N)C(=O)N2,5100
C1=CC=C2C(=C1)C(=CC3=CC=C(C=C3)O)C(=O)N2,42000
C1=CC=C2C(=C1)C(=CC3=C(C=CC=C3Cl)Cl)C(=O)N2,17000
C1=CC=C2C(=C1)C(=CC3=CC=C(C=C3)Cl)C(=O)N2,37000
C1CCNC(C1)C=C2C3=CC=CC=C3NC2=O,21000
C1=CC(=CC=C1C(=O)C=C2C3=C(C=CC(=C3)Br)NC2=O)F,1400
CC1=CC=C(C=C1)C(=O)C=C2C3=C(C=CC(=C3)Br)NC2=O,2900
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)O)OC,168000
C1=CC=C(C=C1)C(=O)C=C2C3=CC=CC=C3NC2=O,4000
CCOC(=O)C(=C1C2=CC=CC=C2NC1=O)C#N,41700
C1=CC=C2C(=C1)C(=C(C#N)C(=O)N)C(=O)N2,24000
CC(C)(C)C(=O)C=C1C2=CC=CC=C2NC1=O,44000
CC(=O)C=C1C2=CC=CC=C2NC1=O,37000
CNC=C1C2=CC=CC=C2NC1=O,57000
C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2,19000
COC1=CC2=C(C=C1)NC(=O)C2=C3C(=O)NC(=S)S3,17100
C1=CC=C2C(=C1)C(=CC3=CC=C(C=C3)C(F)(F)F)C(=O)N2,4300
C1=CC=C2C(=C1)C(=C(N2)C3=C4C=CC=CC4=NC3=O)NO,30000
C1=CC=C(C=C1)C(=O)C=C2C3=C(C=CC(=C3)Br)NC2=O,3100
C1=CC=C2C(=C1)C(=CC(=O)C3=CC=C(C=C3)Br)C(=O)N2,3500
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,4000
CC(=CCC1=C(C=CC(=C1)CC2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C,94000
