Inhibition of the ATP-mediated HIV1 reverse transcriptase D67N/K70R/T215F/K219Q mutant catalyzed 3'-azido, 3'-deoxythymidine excision from AZT-terminated DNA primers
C1=CC(=C(C=C1CC(O)(P(=O)(O)O)P(=O)(O)O)Cl)Cl,500
CCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,302000
CCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,302000
CN(CCCC1=CC=CC=C1)CCC(O)(P(=O)(O)O)P(=O)(O)O,302000
C1=CC=C(C=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,302000
CCCCCCC1=CC=C(C=C1)NC(P(=O)(O)O)P(=O)(O)O,302000
C(CCC(O)(P(=O)(O)O)P(=O)(O)O)CCN,302000
CCCCCCCC1=CC=C(C=C1)NC(P(=O)(O)O)P(=O)(O)O,302000
C1=CC=C(C=C1)C2=CC=C(C=C2)NC(P(=O)(O)O)P(=O)(O)O,302000
C1=CC=C(C=C1)C2=CC(=CC=C2)NC(P(=O)(O)O)P(=O)(O)O,3200
CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,302000
C1=CC=C2C(=C1)C=CC=C2CC(O)(P(=O)(O)O)P(=O)(O)O,1300
C1=CC(=CC(=C1)NC(P(=O)(O)O)P(=O)(O)O)CO,7900
C1=CC(=CC=C1CC(O)(P(=O)(O)O)P(=O)(O)O)C2=CC=C(C=C2)Cl,3900
C1=CC=C(C=C1)OC2=CC=CC(=C2)CC(O)(P(=O)(O)O)P(=O)(O)O,3300
C1=CC(=CC(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O)C2=CC(=C(C=C2)F)F,1000
COC1=CC=CC(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,5400
CC1=C(C=C(C=C1)NC(P(=O)(O)O)P(=O)(O)O)C2=CC=CC=C2,5000
CN(C)C1=CC=CC=C1CC(O)(P(=O)(O)O)P(=O)(O)O,51300
C1=CC(=CC(=C1)NC(P(=O)(O)O)P(=O)(O)O)C2=CC(=C(C=C2)F)F,2100
C1=CC(=CC(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O)C2=CC=C(C=C2)F,1900
C1=CC(=CC=C1CC(O)(P(=O)(O)O)P(=O)(O)O)C2=CC=C(C=C2)F,2900
C1=CC=C(C=C1)CC2=CC=C(C=C2)NC(P(=O)(O)O)P(=O)(O)O,3500
C1=CC(=CC(=C1)NC(P(=O)(O)O)P(=O)(O)O)C2=C(C=C(C=C2)F)F,3900
C1=CC=C(C(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O)N,38000
C1=CC(=CC(=C1)Br)NC(P(=O)(O)O)P(=O)(O)O,1000
C1=CC=C(C=C1)C2=CC(=CC=C2)NCC(P(=O)(O)O)P(=O)(O)O,11200
COC1=CC=C(C=C1)C2=CC(=CC=C2)CC(O)(P(=O)(O)O)P(=O)(O)O,2400
C1=CC(=CC(=C1)NC(P(=O)(O)O)P(=O)(O)O)C2=CC(=CC(=C2)F)F,2200
C1=CC(=CC(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O)C2=CC=C(C=C2)Cl,900
C1=CC=C(C=C1)C2=CC=C(C=C2)NCC(P(=O)(O)O)P(=O)(O)O,4600
COCC1=CC(=CC=C1)NC(P(=O)(O)O)P(=O)(O)O,9500
C1=CC(=CC(=C1)CC(O)(P(=O)(O)O)P(=O)(O)O)C2=C(C=CC(=C2)F)F,1500
COC1=CC=C(C=C1)C2=CC=C(C=C2)CC(O)(P(=O)(O)O)P(=O)(O)O,5200
C1=CC=[N+](C=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,302000
