Antiplasmodial activity against chloroquine, pyrimethamine and proguanil-resistant Plasmodium falciparum W2 infected in human A positive erythrocytes after 72 hrs by SYBR Green I assay
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,400
CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4800
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)Cl,54500
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)C3=CC=C(C=C3)F,2500
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=C(C=C(C=C3)Cl)Cl,400
CC1=CC=C(C=C1)S(=O)(=O)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=N2)NC4=CC=CC(=C4)C(F)(F)F,950
C1=CC=C2C(=C1)C(=NC(=N2)C(F)(F)F)OC3=CC=C(C=C3)Cl,68000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC(=CC=C3)F,2300
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC=C3F,5000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC(=C3)C(F)(F)F,2300
COC1=CC=CC=C1OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,6000
C1=CC=C2C=C(C=CC2=C1)OC3=NC(=NC4=CC=CC=C43)C(Cl)(Cl)Cl,2300
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC(=CC=C3)Cl,2400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC(=C3)[N+](=O)[O-],3000
CC1=CC=C(C=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,3200
COC1=CC=CC(=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,1900
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC=C3Cl,4400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=C(C=C3)F,2400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=C(C=C3)[N+](=O)[O-],3500
CC1=CC(=CC=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,2900
C1=CC=C(C=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,3100
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=C(C=C3)C(F)(F)F,1800
CC1=NC2=CC=CC=C2C(=N1)OC3=CC=C(C=C3)Cl,28000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=C(C=C3)Cl,1100
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC=C3[N+](=O)[O-],4900
COC1=CC=C(C=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,2900
CC1=C(C=C(C=C1)OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl)C,3300
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)OC3=CC=CC=C3C(F)(F)F,3300
CC1=CC=CC=C1OC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,5500
C1=CC=C2C(=C1)C=CC=C2OC3=NC(=NC4=CC=CC=C43)C(Cl)(Cl)Cl,3900
