Cytotoxic activity against SK-MEL-2 human melanoma cell line, using sulforhodamine B (SRB) assay.
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3Cl.Cl,300000
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,8850
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=C(C=C4)C)C.Cl,14400
CC(=O)NC1CCC(CC1)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,183440
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,85050
CCN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,95730
CC1=CC=C(C=C1)C2=NC(=C3C=CC(=CC3=C2)C)NCCN.Cl,300000
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC=CC=C4.Cl,94370
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC(=CC=C4)C.Cl,88730
CN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,14530
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC5=CC=CC=C54.Cl,1980
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,8380
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,133280
C1CC(CCC1N)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,7700
C1=CC=C(C=C1)CNC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,82970
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N.Cl,1480
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Br.Cl,4120
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Cl.Cl,8550
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)N.Cl,2110
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4)C.Cl,11920
CC1=CC2=CC(=NC(=C2C=C1)N3CCCN(CC3)C)C4=CC=CC=C4C.Cl,990
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3C.Cl,300000
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4Cl)C.Cl,5580
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)NC4CCC(CC4)N.Cl,6450
CC1=CC2=CC(=NC(=C2C=C1)N)C3=CC=CC=C3C.Cl,140
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3.Cl,300000
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,6180
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4C)C.Cl,12850
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,4780
