Inhibition of human CYP11B2 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,42
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,1423
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,1017
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,656
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,28
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,1115
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,25
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,1880
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,19
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,92
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,74
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,220
C1=CC=C(C=C1)C2=NC=C(C=N2)CN3C=CN=C3,5000
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,836
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,110
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,273
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,322
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,3111
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,33
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,151
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,4539
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,1025
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,200
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,25
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,31
C1=CC=C(C=C1)C2=NC=C(C=C2)NC3=CN=CC=C3,5000
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,302
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,2924
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,419
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,0.5
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,621
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,23
