Inhibition of human CYP11B1 expressed in hamster V79MZh11B1 cells using [1,2-3H]-11-deoxycorticosterone substrate incubated for 25 mins by HPLC method
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,15
C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,933
C1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,72
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,31
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,20
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC(F)(F)F,25
COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,80
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)Cl,100
CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,45
C1=CC(=C(C=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)F)F,50
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,5
C1=CC(=CC(=C1)C(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,20
C1=CC(=CC(=C1)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,40
C1=CC2=C(C=C1OCC3=CC(=CC(=C3)F)F)OC(=O)C=C2CN4C=CN=C4,45
COC1=CC=CC(=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,48
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)[N+](=O)[O-],111
CCCOC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,63
CC(C)OC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,48
C1=CC=C(C=C1)CCOC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,258
COC1=C(C=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC,57
COC1=CC(=CC(=C1OC)OC)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,50
C1=CC=C(C=C1)COC2=CC=CC(=C2)C(=O)CN3C=CN=C3,500
C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,149
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,15
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,24
C1=CC(=CC(=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)C#N,30
C1=CC(=CC=C1COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)OC(F)(F)F,109
C1=CC(=CN=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,518
