Inhibition of CYP2D6 in human liver microsomes using 3-[2-(N,N-diethyl-N-methylamino)ethyl]-7- methoxy-4-methylcoumarin as substrate after 45 mins by LC/MS/MS analysis
CC(C)(C)C(=O)N1CCC(CC1)C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F,30000
CN1C=CN=C1C(=O)N2CCC(CC2)C3=C(C=C(C=C3)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=C(C=C3)C(=O)N,12000
CC(C)C(=O)N1CCC(CC1)C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=CC=C3C#N,10000
CS(=O)(=O)C1=CC=CC(=C1)C(=O)N2CCC(CC2)C3=C(C=C(C=C3)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=CC=N3,27000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CNC(=O)C=C3,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=CC=C3,30000
C1CC1C(=O)N2CCC(CC2)C3=C(C=C(C=C3)C(=O)N=C(N)N)C(F)(F)F,17000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=NC=C3,11000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CN=CC=C3,30000
CN1C=NC=C1C(=O)N2CCC(CC2)C3=C(C=C(C=C3)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=C(C=C3)C#N,30000
CS(=O)(=O)C1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=C(C=C(C=C3)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=C(C=C3)S(=O)(=O)N,30000
CCC(=O)N1CCC(CC1)C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F,30000
COCC(=O)N1CCC(CC1)C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F,30000
CC(=O)N1CCC(CC1)C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=CC(=C3)C#N,30000
C1CN(CCC1C2=C(C=C(C=C2)C(=O)N=C(N)N)C(F)(F)F)C(=O)C3=CC=C(C=C3)F,30000
