Inhibition of human CYP11B2 expressed in hamster V79MZh11B2 cells using [1,2-3H]-11-deoxycorticosterone substrate incubated for 25 mins by HPLC method
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,72
C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,2190
C1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,289
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,101
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,100
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC(F)(F)F,250
COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,124
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)Cl,200
CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,250
C1=CC(=C(C=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)F)F,100
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,125
C1=CC(=CC(=C1)C(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,150
C1=CC(=CC(=C1)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,200
C1=CC2=C(C=C1OCC3=CC(=CC(=C3)F)F)OC(=O)C=C2CN4C=CN=C4,200
COC1=CC=CC(=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,127
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)[N+](=O)[O-],86
CCCOC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,77
CC(C)OC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,82
C1=CC=C(C=C1)CCOC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,899
COC1=C(C=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC,82
COC1=CC(=CC(=C1OC)OC)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,147
C1=CC=C(C=C1)COC2=CC=CC(=C2)C(=O)CN3C=CN=C3,500
C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,588
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,497
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,192
C1=CC(=CC(=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)C#N,222
C1=CC(=CC=C1COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)OC(F)(F)F,669
C1=CC(=CN=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,1397
