Inhibition of human cytomegalovirus DNA polymerase (95 uL) activity in a solution containing 6.4 mM HEPES (pH 7.5), incubation for 12 minutes at 26 degrees C
C(=O)(O)P(=O)(O)O,2500
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,400
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],22100
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)C#CCO)CCO)Cl,1100
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,1800
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)CCCO)Cl,2200
CN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,400
CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,670
CC(C)N1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,2400
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)CCCO)CCO)Cl,750
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,810
CN1C=C(C(=O)C2=C1SC(=C2)CO)C(=O)NCC3=CC=C(C=C3)Cl,18500
CN1C=C(C(=O)C2=C1SC(=C2)CCO)C(=O)NCC3=CC=C(C=C3)Cl,4000
CN1C=C(C(=O)C2=C1SC(=C2)CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,430
CN1C=C(C(=O)C2=C1SC(=C2)CCCCCO)C(=O)NCC3=CC=C(C=C3)Cl,9700
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCO)C(=O)NCC3=CC=C(C=C3)Cl,9500
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,22000
CN1C=C(C(=O)C2=C1SC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,1100
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)CCCO)Cl,400
CN1C=C(C(=O)C2=C1C=CC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,700
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)C#CCO)Cl,2700
CN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,1000
CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,1800
CC(C)N1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,4200
