Selectivity index, ratio of IC50 for rat L6 cells to IC50 for chloroquine and pyrimethamine-resistant Plasmodium falciparum K1
CN1C2=CC=CC=C2C=C3C1=C4C=CC=CC4=N3.Cl,9300
CN1C=CC=C2C1=C3C=CC=CC3=N2,372500
CN1C=CC2=NC3=CC=CC=C3C2=C1,185800
CN1C2=CC=CC=C2C=C3C1=NC4=CC=CC=C43.Cl,1200
CN1C=C2C3=CC=CC=C3N=C2C4=CC=CC=C41.Cl,1500
C[N+]1=CC2=C(C3=CC=CC=C3N2)C4=CC=CC=C41.[Cl-],18800
C[N+]1=CC2=C(C=C1)C3=CC=CC=C3N2.[I-],853000
CN1C=CC=C2C1=NC3=CC=CC=C23,20400
CN1C=CC=C2C1=NC3=CC=CC=C23.I,18100
CN1C=CC2=C3C=CC=CC3=NC2=C1,1.089e+06
C[N+]1=CC2=C(C=CN2)C=C1.[I-],35000
C1=CC=C2C(=C1)C3=C(C=N2)NC=C3,27000
CN1C=C2C(=CC=N2)C3=CC=CC=C31,50000
CN1C=CC2=NC3=CC=CC=C3C2=C1.I,120000
CN1C=CC2=NC=CC2=C1,51000
CN1C=CC2=NC=CC2=C1.I,19000
CN1C=CC=C2C1=C3C=CC=CC3=N2.I,348700
CN1C=CC=C2C1=CC=N2,23200
CN1C=C2C=CC=CC2=C3C1=C4C=CC=CC4=N3,2300
CN1C=C2C=CC=CC2=C3C1=C4C=CC=CC4=N3.I,3900
CN1C=C2C=CC=CC2=C3C1=NC4=CC=CC=C43,32500
CN1C=C2C=CC=CC2=C3C1=NC4=CC=CC=C43.I,46900
C1=CC=C2C3=C(NC=C3)N=CC2=C1,5000
CN1C=C2C=CC=CC2=C3C1=NC=C3,20000
