In vitro cytotoxicity against HeLa S3 cell lines, treated for 3 days then uptake of neutral red dye was measured
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=CC(=C3O2)F)F)N)F)N,100000
COC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,34000
CCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,69000
CC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,4900
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)CO)F)N)F)N,24000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)C(=O)O)F)N)F)N,100000
CS(=O)(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CS(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CSC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)Br)F)N)F)N,100000
CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CCCCCCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,21000
CCCCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,78000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)Cl)F)N)F)N,100000
COCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CN(C)CCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,12000
CN(C)CCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,4500
CN(C)CCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,11000
CN(C)CCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,4600
CCCCCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)CN)F)N)F)N,8800
CCOC(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CN(C)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)N)F)N)F)N,19000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)N=[N+]=[N-])F)N)F)N,1200
CCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CCCCCCCCCCCCCCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)O)F)N)F)N,100000
CN(C)CCOC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,1500
CN(C)CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,8900
C[N+](C)(C)CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F.[I-],32000
CN(C)CC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,9200
CCCCCCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100000
CCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,34000
