5-LO inhibitory activity, measured by production of 5-hydroxyeicosatetraenoic acid (5-HETE) and leukotriene B4 (LTB4) in bovine polymorphonuclear leukocytes
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,37000
COC(=O)C1=CC=C(C=C1)CC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,30000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(=O)O,2000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC(=O)O,22000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCCCC(=O)O,10000
COC(=O)CCCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O,30000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCC(=O)NO,4000
COC(=O)C1=CC=C(C=C1)C(=O)C2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,30000
CN(C(=O)C1=CC=C(C=C1)CC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O)O,700
CN(C(=O)C(CC1=CC=CC=C1)C2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O)O,5000
CC(C)C(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)N(C)O,5000
CN(C(=O)C1=CC=C(C=C1)C(=O)C2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O)O,4000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC(=O)NO,3000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC(=O)NO,6000
CCCCOC1=CC=C(C=C1)CC(=O)NO,35000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(=O)C4=CC=C(C=C4)C(=O)O,2000
CC(C)C(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)O,2000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(CCC4=CC=CC=C4)C(=O)O,2000
COC(=O)CCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O,30000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCCC(=O)NO,2000
COC(=O)CCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O,30000
COC(=O)CC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O,30000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(=O)NO,5000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(CC4=CC=CC=C4)C(=O)NO,4000
CC(C)C(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)NO,6000
CC(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)NO,6000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(CC4=CC=CC=C4)C(=O)O,1000
CC(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)O,17000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCCC(=O)O,13000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC(=O)O,18000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCC(=O)O,19000
CN(C(=O)CCCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)O,500
CC(C)C(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)OC,30000
CC(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)OC,30000
CC(C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)C(=O)N(C)O,6000
CN(C(=O)CCCCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)O,400
CN(C(=O)CCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)O,600
CN(C(=O)CCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)O,600
CN(C(=O)CC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O)O,1000
COC(=O)C(CC1=CC=CC=C1)C2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,30000
COC(=O)CCCCCC1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O,30000
COC(=O)C(CCC1=CC=CC=C1)C2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,30000
