Antitrypanosomal activity against Trypanosoma brucei rhodesiense ST1B900 trypomastigote infected in NMR1 mouse assessed as inhibition of parasitemia at 50 mg/kg, ip administered on day 3 post infection for 4 days
C1C(S[As](S1)C2=CC=C(C=C2)NC3=NC(=NC(=N3)N)N)CO,7.5
CCC(=O)N(CCCCCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,3742
CCC(=O)N(CCCCCCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,3943
CCC(=O)N(CCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,61507
CCC(=O)N(CCCCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,4775
CCC(=O)N(CCCCCCCCCCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],431
CC(C)(C)OC(=O)NCCCCCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,126
CCC(=O)N(CCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,52084
CCC(=O)N(CCCCCCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,3046
CCC(=O)N(CCCCCCCCCCCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,1257
CCC(=O)N(CCCCCCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],6836
C1CN(CCC1NC2=CC(=CC=C2)[N+](=O)[O-])CCC3=CC=CC=C3,21280
CC(C)(C)OC(=O)NCCCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,289
CCC(=O)N(CCCCCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,4081
CCC(=O)N(CCCCCCCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,1590
CCC(=O)N(CC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],54677
CCC(=O)N(CCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],129667
CC(C)(C)OC(=O)NCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,8733
CCC(=O)N(CCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,34881
CC(C)(C)OC(=O)NCCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,790
CCC(=O)N(CCCCCCCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],3748
CC(C)(C)OC(=O)NCCCNC1CCN(CC1)CCC2=CC=CC=C2,8643
CCC(=O)N(CCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,4092
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC(=CC=C3)[NH+]=C(N)N.C(=O)(C(F)(F)F)[O-],4238
CCC(=O)N(CCCCCCCCCCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,4070
CCC(=O)N(CCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,76977
CCC(=O)N(CCCCCCCCCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,1247
CCC(=O)N(CCCCCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,2379
CCC(=O)N(CCCCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],2925
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-],38624
CCC(=O)N(CCCCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,6427
CCC(=O)N(CCCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,6320
CCC(=O)N(CCCCCCC[NH+]=C(N)N)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)[O-],14068
CCC(=O)N(CC1=CC=CC(=C1)CNC(=O)OC(C)(C)C)C2CCN(CC2)CCC3=CC=CC=C3,15140
