Prostaglandin D2 receptor antagonist activity, evaluated by inhibition of [3H]PGD-2 binding to human platelet membranes
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)OC)CC=CCCCC(=O)O)C,3900
CC1(C2CC(C(C1C2)NC(=O)CC3=CC=CC=C3)CC=CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3OC)CC=CCCCC(=O)O)C,4600
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=C(C=C3)OCO4)CC=CCCCC(=O)O)C,2100
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CS3)CC=CCCCC(=O)O)C,3300
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)NS(=O)(=O)C)C,6000
CC1(C2CC(C(C1C2)NC(=O)C3=CN=CS3)CC=CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CN=CC=C3)CC=CCCCC(=O)O)C,330
CC1(C2CC(C(C1C2)NC(=O)C3CCCCC3)CC=CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CN(C=C3)C)CC=CCCCC(=O)O)C,420
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)O)CC=CCCCC(=O)O)C,3400
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-])CC=CCCCC(=O)O)C,4400
CC1=CC(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,13
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,42
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,1300
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,1200
CC1(C2CC(C(C1C2)NC(=O)CC3=COC=C3)CC=CCCCC(=O)O)C,560
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC4=C(C=C3)OC5=CC=CC=C54)CC=CCCCC(=O)O)C,780
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)NS(=O)(=O)C)CC=CCCCC(=O)O)C,7500
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=CC(=C4)O)CC=CCCCC(=O)O)C,2.2
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)O)CC=CCCCC(=O)O)C,1.9
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)O)C,1600
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC(=O)CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3)CC=CCCCC(=O)O)C,5200
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,3600
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3OC)CC=CCCCC(=O)O)C,4500
CC1=C(C=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,180
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,1300
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,5100
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,1300
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,540
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,47
CC1(C2CC(C(C1C2)NC(=O)C3=CNC4=CC=CC=C43)CC=CCCCC(=O)O)C,520
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC4=C3SC=C4)CC=CCCCC(=O)O)C,26
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)F)CC=CCCCC(=O)O)C,0.42
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4O3)CC=CCCCC(=O)O)C,690
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=CC=CC=C43)CC=CCCCC(=O)O)C,32
CC1(C2CC(C(C1C2)N(C)C(=O)C3=CSC=C3)CC=CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4S3)CC=CCCCC(=O)O)C,19
CC1(C2CC(C(C1C2)N(C)C(=O)C3=CC=CC=C3)CC=CCCCC(=O)O)C,10000
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3CCCC4)CC=CCCCC(=O)O)C,150
CC1=C(C(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O)C4=CC=CC=C4,590
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)OC)CC=CCCCC(=O)O)C,520
