Tested for inhibitory activity against human tumor cell line A549 (a non small, drug resistant cell line that does not produce P-glycoprotein) of lung carcinoma using sulforhodamine B assay.
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,3
CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N,1100
CN(C)CCN1C(=O)C2=CC=CC3=CC4=CC=CC=C4C(=C32)C1=O,10
CN(C)CCN1C(=O)C2=CC(=CC3=CC4=C(CCCC4)C(=C32)C1=O)N,170
CN(C)CCN1C(=O)C2=CC=CC3=C4C(=CC(=C32)C1=O)C=CC=N4,220
CN(C)CCN1C(=O)C2=CC=CC3=CC4=C(CCCC4)C(=C32)C1=O,18
CN(C)CCN1C(=O)C2=CC=CC3=C4C=CC=C(C4=CC(=C32)C1=O)[N+](=O)[O-],154
CN(C)CCN1C(=O)C2=CC=CC3=C2C(=CC4=C3C=CC=N4)C1=O,32
CN(C)CCN1C(=O)C2=CC=CC3=C4C(=CC(=C32)C1=O)C=CC=C4Cl,45
CN(C)CCN1C(=O)C2=CC=CC3=C4C=CC=C(C4=CC(=C32)C1=O)OC,870
CC(=O)NC1=C2C3=C(C=C4C=CC=NC4=C3C=C1)C(=O)N(C2=O)CCN(C)C,150
CN(C)CCN1C(=O)C2=CC=CC3=C4C(=CC(=C32)C1=O)C=CC=C4N,37
CN(C)CCN1C(=O)C2=CC=CC3=C4C(=CC(=C32)C1=O)C=CC=C4[N+](=O)[O-],950
CN(C)CCN1C(=O)C2=CC=CC3=C4C(=CC(=C32)C1=O)C=CC=C4O,160
CN(C)CCN1C(=O)C2=CC=CC3=C4C=CC=C(C4=CC(=C32)C1=O)O,420
CN(C)CCN1C(=O)C2=CC=CC3=C4C=CC=C(C4=CC(=C32)C1=O)Cl,22
CC(=O)NC1=C2C3=C(C4=C(CCCC4)C=C3C=C1)C(=O)N(C2=O)CCN(C)C,32
CN(C)CCN1C(=O)C2=CC=CC3=C4C=CC=C(C4=CC(=C32)C1=O)N,280
CN(C)CCN1C(=O)C2=C3C(=C4C(=C2)C=CC=N4)C=CC(=C3C1=O)N,170
CN(C)CCN1C(=O)C2=C3C(=CC4=C2CCCC4)C=CC(=C3C1=O)N,13
CN(C)CCN1C(=O)C2=CC=CC3=C2C(=CC4=CC=CC=C34)C1=O,220
CC(C)(C)C(=O)NC1=C2C3=C(C4=C(CCCC4)C=C3C=C1)C(=O)N(C2=O)CCN(C)C,750
CC(C)(C)C(=O)NC1=CC2=CC3=C(CCCC3)C4=C2C(=C1)C(=O)N(C4=O)CCN(C)C,850
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,22
