Inhibition of 2,2'-azobis(2-aminopropane)hydrochloride (AAPH) induced lipid peroxidation in bovine brain phospholipid liposomes
CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,2000
CC(=O)OC1=C(C(=C(C2=C1C=CC(=C2)Cl)OC(=O)C)OC)OC,50000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCCC4=CC=CC=C4,112000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)Cl,150000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=CC=C4,67000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4C(=O)O,42000
C1C2=C(C(=CC=C2)O)C(=O)C3=C(C=C(C=C31)CC4=CC=CC=C4)O,64000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(=O)C4=CC=CC=C4,43000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=CC(=C4)O)O,7000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,79000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=C(C=C4)O)O,16000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCC4=CC=CC=C4,110000
CC1=CC=C(C=C1)C(=O)C2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,40000
C1C2=C(C(=CC=C2)O)C(=O)C3=C(C=C(C=C31)CC4=CC(=C(C=C4)O)O)O,4000
C1C2=C(C(=CC=C2)O)C(=O)C3=C(C=C(C=C31)CC4=C(C=CC(=C4)O)O)O,3000
COC1=CC(=C(C=C1)CC2=CC(=C3C(=C2)CC4=C(C3=O)C(=CC=C4)O)O)OC,200000
C1C2=C(C(=CC=C2)O)C(=O)C3=C(C=C(C=C31)CC4=CC=C(C=C4)O)O,14000
C1C2=C(C(=CC=C2)O)C(=O)C3=C(C=C(C=C31)CC4=C(C=C(C=C4)O)O)O,16000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4,98000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4O,25000
COC1=CC(=C(C=C1)OC)CC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,200000
COC1=CC=C(C=C1)CC2=CC(=C3C(=C2)CC4=C(C3=O)C(=CC=C4)O)O,33000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)C(=O)C4=CC=CC=C4,40000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(=O)O,62000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)O,43000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC(=C(C(=C4)O)O)O,5000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=C(C=C4)O,50000
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC(=C(C=C4)O)O,4000
