Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,1.1
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C)N,280
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,99
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,320
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)N,22.1
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)N,196.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCN(CC4)C)N,26.5
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)OCC(=O)N4CCOCC4)N,50.5
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,171.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=CN=C3)N,151.8
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)S(=O)(=O)C)N,76.8
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C(=O)N(C)C)N,228.7
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)C)F)N,64.9
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,16.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,21.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CCO)N,61.8
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)N(C)C)N,228.3
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)N,45.3
CCN(CC)CCNC(=O)C1=CC=C(C=C1)C2=CC(=C(N=C2)N)SC(C)C3=C(C=CC(=C3Cl)F)Cl,101
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,7.7
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CC(=O)N(C)C)N,44.9
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC4=C(C=C3)NC(=O)C4)N,130.2
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)CCO)N,81.7
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)F)N,173.2
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)S(=O)(=O)C)N,58.7
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCOCC4)N,66.2
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCOCC4)F)N,97.9
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C)N,101.7
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N(C)C)N,44.9
CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC(=C(N=C3)N)SC(C)C4=C(C=CC(=C4Cl)F)Cl,240.3
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)CO)N,38.1
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)C)N,25.8
