Inhibitory activity against histamine release from antigen-challenged, sensitized human basophils
CC1=C2C=NN(C(=O)N2C(=N1)C(C)C)CC=C,48000
CCC1=C2C=NN(C(=O)N2C=N1)CC=C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC=C)C,40000
CC1=C2C=NN(C(=O)N2C(=N1)C)CC=C,73000
CC1=C2C=NN=C(N2C=N1)N(C)C,48000
C1=CC=C(C=C1)C2=NC=C3N2C(=S)NN=C3,48000
CC1=C2C=NN=C(N2C=N1)NN,48000
CC1=C2C=NN=C(N2C=N1)NC3=CC=CS3,48000
CC1=C2C=NN=C(N2C=N1)NCC3=CC=CO3,48000
CC1=C2C=NN=C(N2C=N1)NC3=CN=CC=C3,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC(CO)O)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC(=O)C3=CC=CC=C3)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC(CO)O)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC(=O)O)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC=C)C,69000
CN(C)CCNC1NN=C(C2=CN=C(N12)COC)NCCN(C)C,48000
CCCC1=C2C=NN(C(=O)N2C=N1)CC=C,48000
CCCC1=NC(=C2N1C(=NN=C2C)SC)C,48000
CSC1=NN=C(C2=CN=CN21)C3=CC=CC=C3,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC3=CC=CC=C3)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)C)C,48000
CCCC1=CN=C(N2C1=CN=C2C)NC3=CC=NN3,48000
CC1=C2C=NN=C(N2C(=N1)C3=CC=CC=C3)SCC=C,48000
CC1=C2C(=NN=C(N2C(=N1)C(C)C)SC)C3=CC=CC=C3,48000
CCCC1=NC(=C2N1C(=NN=C2C(C)C)SC)C,48000
CCCC1=NC=C2N1C(=O)NN=C2,48000
CCC1=NC(=C2N1C(=NC=C2)NC3=CC=NN3)C,13000
CCCC1=NC=C2N1C(=NC=C2C)NC3=CC=NN3,39000
CCCC1=NC(=C2N1C(=NC=C2CC)NC3=CC=NN3)C,48000
CCC1=C2C=NNC(=O)N2C=N1,48000
CCCC1=C2C=NNC(=O)N2C=N1,48000
C1=CC=C(C=C1)CC2=NC(=C3N2C(=O)NN=C3)Br,48000
CCCC1=NC(=C2N1C(=NC=C2C)NC3=CC=NN3)C,48000
C=CCSC1=NN=CC2=CN=C(N21)C3=CC=CC=C3,48000
C1=CC=C(C=C1)C2=C(NN=C2)NC3=NN=CC4=CN=CN43.OS(=O)(=O)O,10000
C1=C2C=NN=C(N2C=N1)NC3=NC=NN3,46000
CN1CCN(CC1)C2=NN=CC3=CN=CN32,48000
C1C2CC3CC1CC(C2)(C3)NC4=NN=CC5=CN=CN54,48000
C1CCC(C1)NC2=NN=CC3=CN=CN32,48000
CC1=C2C=NN=C(N2C(=N1)C)SC,48000
COCC1=NC=C2N1C(=NN=C2)SC,48000
CC1=C2C=NN=C(N2C=N1)SC,48000
CCCC1=NC=C2N1C(=O)NN=C2C,48000
CCOC(=O)CN1C(=O)N2C(=CN=C2COC)C=N1,48000
CCCC1=NC(=C2N1C(=S)NN=C2)C,10000
CC1=C2C=NNC(=S)N2C(=N1)C,48000
C1=CC(=CC(=C1)Cl)C2=NC=C3N2C(=S)NN=C3,48000
CCCC1=NNC(=O)N2C1=C(N=C2CCC)C,16000
CCCC1=NC(=C2N1C(=O)NN=C2CC)C,15600
CCCC1=NC(=C2N1C(=O)N(N=C2)C)C,20000
CC1=C2C=NN(C(=O)N2C(=N1)C(C)(C)C)CC=C,48000
CC(C)C1=C2C=CN=C(N2C=N1)NC3=CC=NN3,48000
CCCC1=NC=C2N1C(=NN=C2)SC,48000
C1=CC=C(C=C1)C(=O)CSC2=NN=CC3=CN=CN32,48000
CCOC(=O)CN1C(=O)N2C=NC=C2C=N1,48000
COCC1=NC=C2N1C(=O)N(N=C2)CC=C,48000
CCOC(=O)C=C1NN=CC2=CN=CN21,48000
CCCC1C2=CN=C(N2C(=NN1)SC)C,48000
CCCC1=NC(=C2N1C(=NNC2C3=CC=CC=C3)SC)C,48000
C1CCC(C1)NC2C3=CN=CN3C(=NN2)NC4CCCC4,48000
CC1=NC=C2N1C(=S)NN=C2,48000
CC1=NC=C2N1C(=O)N(N=C2)CC=C,48000
CCC1=NC(=C2N1C(=O)N(N=C2)CC=C)C,48000
C1=CC=C(C=C1)C2=CN=C(N3C2=CN=C3)NC4=CC=NN4,48000
CCC1=C2C=CN=C(N2C=N1)NC3=CC=NN3,36000
CCCC1=NC(=C2N1C(=NC=C2)NC3=CC=NN3)C,25000
CCCCCCCCCCCCCCCCCC1=NC=C2N1C(=S)NN=C2,48000
CC1=C2C=NNC(=S)N2C(=N1)C3=CC=CC=C3,48000
CCCC1=NC=C2N1C(=S)NN=C2,48000
CCCC1=NC(=C2N1C(=S)NN=C2C)C,45000
CC1=C2C=NNC(=S)N2C(=N1)COC,48000
COCC1=NC(=C2N1C(=O)NN=C2Br)Br,48000
C=CCN1C(=O)N2C=NC=C2C=N1,48000
CC1=NC=C2N1C(=S)N(N=C2)CC=C,48000
CCCC1=NC(=C2N1C(=S)N(N=C2)CC=C)C,48000
CC1=C2C=NNC(=O)N2C(=N1)CC3=CC=CC=C3,48000
CC1=C2C=NNC(=O)N2C=N1,48000
CCOC(=O)C=CCSC1=NN=CC2=CN=CN21,48000
C1=C2C=NNC(=O)N2C=N1,48000
C1=CC=C(C=C1)C2=NC=C3N2C(=O)NN=C3,48000
C1=C2C=NNC(=S)N2C=N1,48000
CCC1=NC(=C2N1C(=O)N(N=C2)CC)C,75600
CCN1C(=O)N2C(=C(N=C2C(C)C)C)C=N1,48000
CC1=C2C=NN(C(=O)N2C(=N1)C)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC)C,48000
CC1=NC=C2N1C(=O)NN=C2,48000
CC(C)(C)C1=NC=C2N1C(=O)NN=C2,48000
CC1=C2C=NN=C(N2C(=N1)C)SCC=C,59000
CCCC1=C2C=CN=C(N2C=N1)NC3=CC=NN3,48000
COCC1=NC=C2N1C(=NC=C2)NC3=CC=NN3,31000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC(=O)OCC)C,48000
CC1=C2C=NN(C(=O)N2C(=N1)CC3=CC=CC=C3)CC=C,48000
CCOC(=O)C(C)SC1=NN=CC2=CN=CN21,48000
CCOC(=O)CSC1=NN=CC2=C(N=CN21)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC=C)Br,48000
CCCC1=NC(=C2N1C(=O)N(N=C2Br)CC=C)Br,48000
CC1=C2C=CN=C(N2C(=N1)C)NC3=CC=NN3,53000
CC1=C2C=CN=C(N2C=N1)NC3=CC=NN3,57000
CC1=C2C=NNC(=S)N2C=N1,48000
CCOC(=O)CSC1=NN=CC2=CN=C(N21)C,52000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CCC)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC)C,48000
CC1=C2C=NNC(=S)N2C(=N1)C(C)C,48000
CCC1=C2C=NNC(=S)N2C=N1,48000
C12=C(N=C(N1C(=O)NN=C2Br)Br)Br,27000
CC1=C2C=NNC(=O)N2C(=N1)CC(C)(C)C,48000
CCC1=NC(=C2N1C(=NN=C2C3=CC=CC=C3)SC)C,48000
CCC1=NC(=C2N1C(=NN=C2)SC)C,48000
COC1=CC=C(C=C1)C2=NC=C3N2C(=O)NN=C3,48000
CCC1=NNC(=O)N2C1=C(N=C2C)C,48000
CC1=C2C(=NNC(=O)N2C(=N1)COC)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC=CC(=O)OCC)C,48000
CC1=C2C=NNC(=O)N2C(=N1)C,48000
CNC1=NN=CC2=CN=CN21,48000
CC1=C2C(=NN=C(N2C(=N1)C)SC)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2)CC3CC3)C,48000
C=CCN1C(=O)N2C(=C(N=C2CC3=CC=CC=C3)Br)C=N1,48000
CC1=NC=C2N1C(=NN=C2)SC,48000
CC(C)C1=C2C=NN=C(N2C=N1)SC,48000
CCCOC1=CC=CC=C1C2=NC=C3N2C(=O)NN=C3,48000
C1=CC=C(C=C1)CC2=NC=C3N2C(=O)NN=C3,48000
CC1=C2C=NNC(=O)N2C(=N1)C3=CC=CC=C3,48000
CCCC1=NN=C(N2C1=C(N=C2CCC)C)SC,48000
CC1=NNC(=S)N2C1=CN=C2,48000
CCC1=C2C=NN=C(N2C=N1)SCC=C,48000
CN1C(=O)N2C(=CN=C2CC3=CC=CC=C3)C=N1,48000
CC1=CN=C(N2C1=C(N=C2C)C)NC3=CC=NN3,48000
CCCC1=CN=C(N2C1=C(N=C2CCC)C)NC3=CC=NN3,48000
C1=C2C=NN=C(N2C=N1)SCC=CCSC3=NN=CC4=CN=CN43,48000
CCCC1=C2C=NN=C(N2C=N1)SC,48000
CCCC1=NNC(=O)N2C1=C(N=C2C)C,48000
CCCC1=C2C=NNC(=O)N2C(=N1)C,48000
CC1=C2C(=CN=C(N2C(=N1)C(C)C)NC3=CC=NN3)C4=CC=CC=C4,48000
CCC1=NC(=C2N1C(=NC=C2C3=CC=CC=C3)NC4=CC=NN4)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)C=C=C)C,48000
CCOC(=O)CSC1=NN=CC2=C(N=C(N21)C)C,48000
CCCC1=NC(=C2N1C(=NN=C2)SCC(=O)OCC)C,48000
CCCC1=NC(=C2N1C(=O)N(N=C2C)CC(=O)OCC)C,48000
CCCC1=NN(C(=O)N2C1=C(N=C2CCC)C)C,18000
CCCC1=NN(C(=O)N2C1=C(N=C2CCC)C)CC=C,29000
CCCC1=NC(=C2N1C(=NC=C2C3=CC=CC=C3)NC4=CC=NN4)C,48000
COCC1=NC=C2N1C(=NN=C2)SCC=C,79000
CC1=NC=C2N1C(=NN=C2)SCC=C,61000
CCCC1=NC(=C2N1C(=S)NN=C2C(C)C)C,48000
CCCC1=NC(=C2N1C(=NC=C2C(C)C)NC3=CC=NN3)C,48000
CC1=C2C=NN=C(N2C=N1)N(C3=NNCC3)C(=O)C,48000
CCOC(=O)CN1C(=O)N2C=NC(=C2C=N1)C,48000
CC1=C2C=NN(C(=O)N2C=N1)CC=C,48000
CCCC1=NC(=C2N1C(=NN=C2)NCCN(C)C)C,48000
CC1=C2C=NN=C(N2C=N1)NC,48000
CC(C)CCSC1=NN=CC2=CN=CN21,9000
CCOC(=O)CSC1=NN=CC2=CN=CN21,48000
CCCC1=NC=C2N1C(=NN=C2)SCC=C,48000
C=CCN1C(=O)N2C(=CN=C2CC3=CC=CC=C3)C=N1,48000
CCOC(=O)C(=C1NN=CC2=CN=CN21)C(=O)OCC,48000
C1=CC=C(C=C1)C(=O)C=C2NN=CC3=CN=CN32,38000
CCCC1=C2C=NNC(=S)N2C=N1,48000
CCC1=NC(=C2N1C(=S)NN=C2)C,48000
C1=COC(=C1)CNC2=NN=CC3=CN=CN32,48000
CN(C)CCNC1=NN=CC2=CN=CN21,48000
CN(C)CCNC1=NN=CC2=CN=C(N21)COC,48000
C1=CC=C(C=C1)CNC2=NN=CC3=CN=CN32,48000
CCCC1=NC(=C2N1C(=NN=C2)SC)C,48000
CCCC1=NNC(=O)N2C1=CN=C2C,48000
COC1=CC=C(C=C1)C2=NC=C3N2C(=O)N(N=C3)CC=C,48000
CC(C)C1=C2C=NNC(=O)N2C=N1,48000
COCC1=NC(=C2N1C(=O)NN=C2)Br,48000
CC1=C2C=NNC(=O)N2C(=N1)C(C)C,48000
C1CCN(CC1)C2=NN=CC3=CN=CN32,48000
CCCC1=NC=C2N1C(=S)NN=C2C,48000
CCCC1=NC(=C2N1C(=O)NN=C2)C,56800
C1CN(CCN1C2=NN=CC3=CN=CN32)C(C4=CC=CC=C4)C5=CC=CC=C5,48000
CC1=C2C(=NNC(=S)N2C(=N1)C)C,48000
C1=CC=C(C=C1)C2=NNC(=O)N3C2=CN=C3,19000
CCC1=NC(=C2N1C(=O)NN=C2C3=CC=CC=C3)C,48000
CC(C)(C)C1=NC(=C2N1C(=O)NN=C2)Br,19000
CCCC1=NC(=C2N1C(=NN=C2CC)SC)C,48000
CCCC1=NC(=C2N1C(=NN=C2C3=CC=CC=C3)SC)C,48000
CCCC1=NC(=C2N1C(=S)NN=C2CC)C,48000
CCCC1=NNC(=S)N2C1=C(N=C2CCC)C,48000
COCC1=NC=C2N1C(=O)NN=C2,48000
CC1=C2C=NNC(=O)N2C(=N1)C(C)(C)C,31000
CCC1=NNC(=S)N2C1=C(N=C2C(C)CC)C,48000
CCC1=NC(=C2N1C(=O)NN=C2)C,48000
CCC1=NNC(=O)N2C1=C(N=C2C(C)(C)C)C,26000
CC1=C2C(=NNC(=O)N2C(=N1)C(C)C)C3=CC=CC=C3,48000
CCCC1=NC(=C2N1C(=O)NN=C2C)C,14000
CC1=C2C=NN=C(N2C(=N1)C(C)C)SC,48000
CCC1=NNC(=O)N2C1=C(N=C2C(C)CC)C,45000
CCC1=NNC(=O)N2C1=C(N=C2CC)C,24000
CCCC1=NC(=C2N1C(=O)NN=C2)Br,48000
CCCC1=NC(=C2N1C(=O)NN=C2Br)Br,48000
CCCC1=NC=C2N1C(=NN=C2C)SC,48000
CCC1=C2C=NN(C(=S)N2C=N1)CC=C,48000
CC(C)C1=C2C=NNC(=S)N2C=N1,48000
CCN1C(=S)N2C=NC=C2C=N1,48000
COCC1=NC=C2N1C(=S)NN=C2,48000
CCCC1=NC(=C2N1C(=O)NN=C2C3=CC=CC=C3)C,48000
CCCC1=NC(=C2N1C(=O)NN=C2C3CC3)C,48000
CCCC1=NC(=C2N1C(=O)NN=C2C(C)C)C,48000
CCCCC1=NNC(=O)N2C1=C(N=C2CCC)C,48000
CN1C2=C(C(=O)N(C1=O)C)NC=N2,335000
