Inhibition of N-terminal GST-tagged FGFR1 using poly(Glu,Tyr) as substrate after 30 mins by alphascreen assay
CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O,1950
CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,1064
CC1=CC=CC=C1C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,205
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,51
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)C(=O)O)N2,39
CCCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,326
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)C(F)(F)F)C4=C5C=CC=CC5=NC4=O)N2,4899
CCCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,300
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,11
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,628
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)Br)NC2=O)C4=NC5=CC=CC=C5N4,4880
COCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,199
CN1CCN(CC1)C(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,70
CCN1CCC(CC1)OC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,20
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC(=C6)F)F,8
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=CN5,13
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC(=C4)F)F)C5=NC=C(N5)C,7
CC1=CC=CC(=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,814
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,187
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)Cl)Cl)C4=C5C=CC=CC5=NC4=O)N2,725
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)Br,4880
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)C(=O)O,24400
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,13
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,67
CN1CCN(CC1)S(=O)(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,1950
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)Br,446
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,5
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4F)C5=NC=C(N5)C,8
C1=CC=C2C(=C1)NC(=CC3=C4C=CC=CC4=NC3=O)N2,4880
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)F)C4=C5C=CC=CC5=NC4=O)N2,950
CCOC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,6293
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)C(=O)O)NC2=O)C4=NC5=CC=CC=C5N4,1586
COCCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,46
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)C,10
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=C(N5)C,4
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC=C3)F)C4=C5C=CC=CC5=NC4=O)N2,79
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC(=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,4000
COC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,86
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)N)C4=C5C=CC=CC5=NC4=O)N2,57
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)N)N2,42
COCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,287
CCN1CCCC(C1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,216
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)OC,14
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC=C6)F,5
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=C(C=C4)Cl)C5=NC=CN5,6
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,75
