Cytotoxicity against HFF cells, estimated by visual scoring of cells not affected by virus infection in the plaque reduction assay
C1=C(C2=C(N1COCCO)N=CN=C2N)C(=S)N,100000
CCCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
C=CCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CN1C=C(C2=C1N=CN=C2N)C#N,100000
CCCN1C=C(C2=C1N=CN=C2N)C#N,100000
CN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CCCN1C=C(C2=C1N=CN=C2N)C(=S)N,25000
C1=C(C2=C(N1COC(CO)CO)N=CN=C2N)C(=S)N,100000
C=CCN1C=C(C2=C1N=CN=C2N)C#N,100000
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C#N,10
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C(=O)N,10
CCOCN1C=C(C2=C1N=CN=C2N)C#N,100000
COCCOCN1C=C(C2=C1N=CN=C2N)C(=S)N,100000
CCOCN1C=C(C2=C1N=CN=C2N)C(=S)N,66000
COCCOCN1C=C(C2=C1N=CN=C2N)C#N,100000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C#N,100000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC1=CC(=CC=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,100000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,32000
C1=C(C2=C(N1)N=CN=C2N)C#N,10000
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,32000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,66000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,32000
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C(=S)N,66000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,100000
C1=CC=C(C=C1)COCN2C=C(C3=C2N=CN=C3N)C(=S)N,100000
CC1=CC(=CC=C1)CN2C=C(C3=C2N=CN=C3N)C(=S)N,66000
CC(C)(C)C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
CC1=CC=CC=C1CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
COC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,32000
C1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C#N,100000
CC1=CC(=CC=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
CCOCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
CC1=CC=C(C=C1)CN2C=C(C3=C2N=CN=C3N)C(=O)N,100000
C1=C(C2=C(N1)N=CN=C2N)C(=S)N,32000
COCCOCN1C=C(C2=C1N=CN=C2N)C(=O)N,100000
C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN=C2N)C(=S)N,200
