Inhibition of Plasmodium falciparum DHODH after 20 mins by 2,6-dichloroindophenol-reduction based assay
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC(=C2)OC(F)(F)F,22
C1CC1NC(=O)C2=CC=C(S2)N3C=NC4=CC=CC=C43,60
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=C(C=C2)C(F)(F)F,92
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=C(C=C2)F,111
CC1=NC2=C(C=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4)C#N,40
CC1=CC2=C(C(=C1)F)N(C=N2)C3=CC=C(S3)C(=O)NC4CC4,95
C1CC1NC(=O)C2=CC=C(S2)N3C=NC4=C3C=CC=C4F,62
CCCCNC(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,28600
CCC1=NC2=CC=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4,110
CC1=C2C(=CC=C1)N=C(N2C3=CC=C(S3)C(=O)NC4CC4)C,609
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2Br,21
CCNC(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,140
CCCNC(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,700
C1CCC(C1)NC(=O)C2=CC=C(S2)N3C=NC4=CC=CC=C43,2510
CC1=NC2=CC=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4,80
C1CC1NC(=O)C2=CC=C(S2)N3C4=CC=CC=C4N=C3C(F)(F)F,570
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2OC(F)F,44
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2OCCF,28
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2F,34
CC1=CC2=C(C(=C1)F)N=CN2C3=CC=C(S3)C(=O)NC4CC4,17
CC1=NC2=C(C=C(C=C2N1C3=CC=C(S3)C(=O)NC4CC4)F)Cl,25
CC(C)NC(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,680
CCCC1=NC2=CC=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4,180
CC1=CC2=C(C=C1)N=C(N2C3=CC=C(S3)C(=O)NC4CC4)C,56
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC(=C2)C(F)(F)F,28
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2OC,162
C1CC1NC(=O)C2=CC=C(S2)N3C=NC4=C(C=C(C=C43)F)Cl,35
CNC(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,1080
C1CC1NC(=O)C2=CC=C(S2)N3C=NC4=C3C=CC(=C4)C(F)(F)F,19
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2Cl,21
C1=CC=C2C(=C1)N=CN2C3=CC=C(S3)C(=O)N,30000
C1CC(C1)NC(=O)C2=CC=C(S2)N3C=NC4=CC=CC=C43,420
CN(C)C(=O)C1=CC=C(S1)N2C=NC3=CC=CC=C32,30000
CC1=C2C(=CC=C1)N(C(=N2)C)C3=CC=C(S3)C(=O)NC4CC4,39
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC(=C2)Cl,49
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=CC=C2N(C)C,181
C1CC1NC(=O)C2=CC=C(S2)N3C4=CC=CC=C4NC3=O,30000
CN(C)C1=NC2=CC=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4,5600
CC1=CC2=C(C=C1)N(C(=N2)C)C3=CC=C(S3)C(=O)NC4CC4,56
CC1=NC2=C(N1C3=CC=C(S3)C(=O)NC4CC4)C=C(C=C2)OC(F)(F)F,52
CC1=CC2=C(C(=C1)F)N=C(N2C3=CC=C(S3)C(=O)NC4CC4)C,32
