Inhibition of N-terminal GST-tagged Flt1 using poly(Glu,Tyr) as substrate after 60 mins by alphascreen assay
CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O,28
CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,1
CC1=CC=CC=C1C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,618
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,473
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)C(=O)O)N2,77
CCCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,374
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)C(F)(F)F)C4=C5C=CC=CC5=NC4=O)N2,24000
CCCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,24400
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,163
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,1796
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)Br)NC2=O)C4=NC5=CC=CC=C5N4,4544
COCCNC(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,381
CN1CCN(CC1)C(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,4322
CCN1CCC(CC1)OC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,691
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC(=C6)F)F,66
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=CN5,25
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC(=C4)F)F)C5=NC=C(N5)C,11
CC1=CC=CC(=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,681
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,599
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)Cl)Cl)C4=C5C=CC=CC5=NC4=O)N2,24400
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)Br,4880
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)C(=O)O,20716
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,201
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,45
CN1CCN(CC1)S(=O)(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,1950
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)Br,118
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,161
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4F)C5=NC=C(N5)C,29
C1=CC=C2C(=C1)NC(=CC3=C4C=CC=CC4=NC3=O)N2,405
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)F)C4=C5C=CC=CC5=NC4=O)N2,2308
CCOC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,10543
