DNDI: Cytotoxicity in vitro, against rat skeletal myoblast (L-6) cells
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=N4,100000
CCOC(=O)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
CS(=O)(=O)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
C1=CC2=C(C=CC(=C2)Br)C=C1C(=O)NCCC3=CN=CN3,59740
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
CN1CCCC(C1)CNCC(COC2=CC3=C(C=C2)C=C(C=C3)Br)O,19020
CCS(=O)(=O)N(CC1=CN=CC=C1)C2=CC=CC(=C2)C3=NC4=CC=CC=C4S3,100000
CCN(CC1=CN=CC=C1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,56270
CCN(CC1=CN=CN1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,35980
CCN(CC1=CN=CN1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,61930
C1=CC2=C(C=CC(=C2)Br)C=C1OCC(CN3C=CN=C3)O.Cl,65880
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)C3=CC4=C(CNCC4)C=C3,19940
CN(CC(COC1=CC2=C(C=C1)C=C(C=C2)Br)O)C3CCCCC3,16560
C1=CC=C(C=C1)C2=NC=C(S2)C(=O)NC3=C(C=CC(=C3)C#N)N4C=CN=C4,100000
CC1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
C1=CC=C(C=C1)C2=NC=C(C=N2)C(=O)NC3=C(C=CC(=C3)C#N)N4C=CN=C4,100000
C1=CC=C(C=C1)C2=NC=C(C=N2)C(=O)NC3=C(C=CC(=C3)C(F)(F)F)N4C=CN=C4,100000
CC(C)N(C)CC(COC1=CC2=C(C=C1)C=C(C=C2)Br)O,19200
CN1CCC(CC1)NCC(COC2=CC3=C(C=C2)C=C(C=C3)Br)O,5650
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=C4,70800
C1=CC=C(C=C1)C2=NC=C(C=N2)C(=O)NC3=CC=CC=C3N4C=CN=C4,100000
C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)N(CC4=CN=CC=C4)C(=O)CN,15430
CCN(CC1=CN=CC=C1)C2=CC=CC(=C2)C3=NC4=CC=CC=C4S3,41910
C1CC1C(=O)N(CC2=CN=CC=C2)C3=CC=CC(=C3)C4=NC5=CC=CC=C5S4,60570
CCN(CC1=CN=CC=C1)C2=CN=CC(=C2)C3=NC4=CC=CC=C4S3,31820
C1CC1C(=O)N(CC2=CN=CC=C2)C3=CN=CC(=C3)C4=NC5=CC=CC=C5S4,100000
CCN(CC1=CN=CN1)C2=CC(=CC(=C2)C3=NC4=CC=CC=C4S3)F,54210
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C(=O)N3CC5=CN=CC=C5,16080
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(C=C3)C4=CC=CC=C4,100000
