Cytotoxic activity against SKOV-3 human ovarian tumor cell line, using sulforhodamine B (SRB) assay.
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3Cl.Cl,300000
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,8220
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=C(C=C4)C)C.Cl,63370
CC(=O)NC1CCC(CC1)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,186500
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,167740
CCN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,68610
CC1=CC=C(C=C1)C2=NC(=C3C=CC(=CC3=C2)C)NCCN.Cl,300000
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC=CC=C4.Cl,156050
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC(=CC=C4)C.Cl,145820
CN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,13710
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC5=CC=CC=C54.Cl,3640
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,17010
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,192860
C1CC(CCC1N)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,4360
C1=CC=C(C=C1)CNC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,101840
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N.Cl,2030
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Br.Cl,3850
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Cl.Cl,19960
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)N.Cl,1810
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4)C.Cl,41800
CC1=CC2=CC(=NC(=C2C=C1)N3CCCN(CC3)C)C4=CC=CC=C4C.Cl,700
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3C.Cl,300000
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4Cl)C.Cl,194910
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)NC4CCC(CC4)N.Cl,9170
CC1=CC2=CC(=NC(=C2C=C1)N)C3=CC=CC=C3C.Cl,210
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3.Cl,300000
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,9340
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4C)C.Cl,61960
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,1170
