Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=CC(=O)C2=CC=CC=C2C1=O,55000
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,28000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)O,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)O,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)O,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)O,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,4000
CN1CCN(CC1)CCCNC(=O)CCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCC(=O)NCCCN4CCN(CC4)C,50000
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)CCCCCC(=O)O)CCCCCC(=O)O,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)O,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)C,32000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)C,38000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)C,44000
CN1CCN(CC1)C(=O)CCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCC(=O)N4CCN(CC4)C,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)N3CCN(CC3)C,42000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)N3CCN(CC3)C,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)N3CCN(CC3)C,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)O,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,5000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=CC=CC=C5C4=O)C,3700
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,2700
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,2000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,1900
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,2600
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,2900
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,57000
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCNC4=C(C(=O)C5=CC=CC=C5C4=O)C,10000
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,9000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCN3CCN(CC3)C,57000
CN1CCN(CC1)C(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)N4CCN(CC4)C,2900
CN(C)CCCN1CCN(CC1)CC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCN(CC4)CCCN(C)C,57000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,1600
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,1600
CN1CCN(CC1)CCCNC(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)NCCCN4CCN(CC4)C,6200
CN1CCN(CC1)CCCNC(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)NCCCN4CCN(CC4)C,800
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)CCCCC(=O)O)CCCCC(=O)O,50000
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)CCCC(=O)O)CCCC(=O)O,50000
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)CCC(=O)O)CCC(=O)O,50000
CN1CCN(CC1)CCCNC(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)NCCCN4CCN(CC4)C,11000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,2500
CN1CCN(CC1)C(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)N4CCN(CC4)C,17500
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,1700
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,18700
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,2500
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)C,16000
CN1CCN(CC1)C(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)N4CCN(CC4)C,5900
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCN,6000
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCCN,57000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCNC(=O)OC(C)(C)C,25000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCNC(=O)OC(C)(C)C,25000
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,6500
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCNC(=O)OC(C)(C)C,50000
