Tested for inhibition of HIV-1 integrase, under 1 uM for the strand transfer
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,8000
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,1000
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,45800
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C(=C(C=C3O2)O)O)O)O)O)O,600
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,600
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,660
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,1080
C1C(C(OC2=CC(=C(C=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)CC(CCC4=CC(=C(C=C4)O)O)O,1000
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCN5CCN(CC5)C(=N)N=C(N)N)O,300
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,7800
C1=CC(=C(C=C1C=C(C#N)C(=O)NCCCNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N)O)O,3000
C1=CC(=C(C=C1CCC(=O)C2=C(C(=C(C=C2)O)O)O)O)O,1000
C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,130
C1=CC(=CNNC=C2C=CC=C(C2=O)O)C(=O)C(=C1)O,14000
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NNC5(CCCC5)C(=O)[O-])O.[Na+],3600
C[Si](C)(C)C,5000
CC1CN(CC(N1NC=C2C3=C(C4=C(C(=C5C(=C4C2=O)C(=O)C(O5)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)N3)C)C)O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C)CC6=CC=C(C=C6)[N+](=O)[O-],19700
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,460
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCNC(CO)(CO)CO)O.Cl,500
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5O)O)(C(=O)CO)O)N)O.Cl,4100
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,2400
